income,age
101743,58
49597,27
36517,52
33223,49
72994,53
38361,26
48579,29
115248,24
11527,31
54096,51
11783,29
66578,28
49199,27
117177,55
134379,48
59501,50
117846,27
93487,38
41563,31
78534,51
20851,26
114628,31
89332,50
111413,60
79333,24
112400,30
108937,61
0,23
118081,40
130623,33
54556,21
71035,30
36426,28
103218,31
108768,31
104961,19
49310,35
54225,28
43132,54
116101,53
48609,54
43710,53
131209,55
113962,23
112905,26
145888,31
150204,45
126063,51
136403,25
59296,28
111145,29
48960,49
96112,47
21198,32
35596,52
24298,32
28203,31
54609,24
125078,35
51431,33
124457,51
36468,45
115503,26
124380,30
50508,31
136175,34
47523,55
132422,34
138422,47
131567,39
52303,53
86327,21
104053,21
117156,55
56926,57
60241,50
26963,32
114569,30
126278,21
110378,53
139300,56
53811,37
90113,25
39116,43
112443,29
27603,54
71181,45
20751,49
47846,52
106959,27
32505,59
33476,37
60676,53
116432,35
43237,26
57028,28
115825,33
49185,47
15664,47
46417,50
15434,29
113249,32
71978,50
132934,51
70430,49
71862,20
110505,38
31321,45
32997,41
53066,53
42935,27
98690,49
91509,50
0,25
147193,32
50403,44
96110,46
130613,30
57273,32
10416,48
141352,45
61184,23
111150,24
62284,28
37066,55
53226,22
129368,28
25488,24
43146,30
110294,58
122790,31
75097,39
43065,55
119753,31
106694,41
47404,54
132090,26
56511,34
127411,40
30861,37
34505,63
31115,33
41653,47
96385,39
33476,26
80243,50
93159,51
101121,23
133391,26
51410,34
105830,28
42751,23
131368,38
47635,41
26634,32
70878,32
104176,29
39522,35
102043,30
106336,43
144395,41
133755,29
103784,49
110017,33
136470,46
61322,31
26896,30
128130,54
130038,28
61603,25
101915,31
77240,40
118032,31
109343,52
52643,51
43996,50
102206,47
114246,54
89774,31
128766,32
56198,51
75594,26
84184,30
26772,25
124610,47
128139,29
94311,23
100599,48
113875,51
121412,38
108704,31
52303,55
33959,30
58555,21
44617,26
65386,21
128277,62
113641,35
121928,48
57133,47
97035,53
58616,52
28549,51
50981,39
69900,47
93200,45
107993,49
19781,48
39729,54
52101,44
48594,57
51183,40
118081,45
124037,44
70825,47
43359,36
103137,29
48983,36
123425,50
15110,43
104978,22
99373,32
39887,27
119701,34
115444,29
140602,45
52569,47
48505,31
43379,45
99173,44
118866,45
67238,44
100436,47
179294,26
44903,27
141522,28
60320,28
149485,46
52533,27
137533,49
131854,56
73549,47
14166,37
86065,29
44079,45
100771,48
113843,45
17637,32
15955,20
115341,30
55978,27
37624,32
37818,25
65475,47
50599,44
72729,50
101080,29
113835,32
133971,54
150055,24
108992,29
33373,39
100646,43
106517,27
30258,33
112237,43
121035,53
57376,35
91983,29
42832,47
71381,45
121654,25
48071,32
112538,43
98847,60
146734,47
47960,20
35664,34
160413,54
96390,43
112928,51
119993,35
55140,29
144100,45
128091,28
90289,47
43919,54
48261,23
58875,54
61671,35
45403,32
75956,60
130603,47
126382,29
44350,35
117128,34
49965,53
127536,28
116203,59
0,34
95673,33
37442,56
136915,24
143999,54
24910,29
42284,49
59022,50
147043,29
36270,27
34163,46
103708,24
110018,24
40855,58
50188,48
34778,49
75912,28
121462,30
60375,39
119687,50
59265,51
53698,51
32153,35
124897,59
29721,50
18314,47
29034,37
114391,55
11429,56
14709,48
47570,48
62517,56
40397,32
89133,26
132044,22
44543,44
54503,30
38941,22
53832,38
126239,52
117202,45
23169,32
141903,33
129608,36
30109,42
18057,48
21190,28
150647,50
21367,26
38806,43
24138,34
112251,45
70546,32
125295,55
103012,46
98036,21
90218,28
44129,53
140659,39
103965,48
37951,43
110369,48
95057,44
97457,49
52970,54
133596,61
115012,28
30842,30
115064,54
62406,47
117916,36
50271,49
89537,28
49445,30
47161,42
112121,27
35080,33
54186,43
27552,30
50760,21
44422,36
109259,49
45286,27
31183,33
89373,49
84373,20
112142,29
39496,50
46418,35
149208,55
133491,52
117154,28
26178,29
115703,25
93649,42
126808,48
17001,28
145779,41
108229,45
113124,23
10389,27
16252,51
62477,34
9955,45
70630,51
130691,36
112108,46
50082,44
104145,29
114699,34
18212,46
14608,33
114182,32
35790,45
55255,58
27347,22
92242,49
140535,26
25629,46
59090,48
54863,43
110315,32
126568,32
67364,54
104674,31
59703,24
47131,51
29613,27
120831,56
146416,45
43553,30
137086,44
36157,51
65449,50
124354,54
18131,30
36121,33
36468,32
44937,49
113273,37
17182,51
93263,62
137892,53
93035,32
112626,46
55540,50
112574,53
48648,26
88666,33
60441,21
58991,32
31692,43
40700,49
116175,48
47826,30
44010,51
107356,52
120723,47
28752,32
97007,55
47597,26
106697,28
31213,45
125104,30
113076,39
22456,31
129698,26
125837,48
51974,48
36855,31
37150,48
37270,36
37790,35
111653,43
50488,47
57033,59
134398,42
132402,27
106021,35
0,29
123629,32
85950,29
121586,39
114185,40
117862,47
46358,33
108646,31
77093,45
58491,55
55664,32
42669,27
71610,27
130950,32
43540,54
50368,44
134653,28
92410,43
69058,54
114781,48
95288,53
129954,27
48390,51
34678,49
96617,25
54637,45
21468,30
102623,32
126648,27
133320,31
35349,45
130982,52
63144,47
124012,46
20016,32
106213,56
97344,46
125568,30
129608,23
53764,51
94185,48
117987,55
121512,54
30672,41
49590,47
18454,26
97960,46
108667,47
117709,34
124741,49
13252,53
47517,50
66601,51
44791,46
48044,28
43648,22
33445,22
53488,22
104901,34
32442,52
46781,53
51951,40
98367,50
51129,27
107598,55
104527,34
58834,23
45139,29
132567,34
127372,47
43070,40
56237,26
121124,46
96968,30
122895,48
27302,53
47663,32
115577,26
27998,60
86492,39
66755,23
110442,26
92162,38
55389,35
144385,27
141930,48
88912,47
41581,25
96126,51
146217,25
99190,54
43785,49
79360,18
153691,48
55528,54
127624,49
43698,46
44043,33
32350,30
56508,28
99335,26
59134,35
88607,29
115337,52
103919,27
0,27
134145,47
86273,46
41804,29
33820,36
91646,47
47604,27
124846,29
128506,32
44036,33
36409,61
58430,51
59334,26
27599,33
67313,47
46629,50
4199,29
99836,35
57295,52
57338,46
51890,28
102958,25
48238,24
103170,54
135049,59
133760,44
111391,51
108951,24
60210,46
116907,48
47745,48
39676,21
109321,29
112815,46
121306,31
40224,48
84364,58
156779,53
67676,47
43924,23
57007,61
66462,25
36309,27
80820,23
72858,45
91419,42
89117,29
105768,51
47469,50
117702,36
85794,32
56360,20
110929,27
95033,23
51322,27
117795,30
52735,22
40901,48
58650,30
117720,44
3384,52
117243,30
56596,54
55968,49
34108,46
107354,33
112770,55
65955,56
175497,58
87347,52
86404,30
54579,49
94871,25
73855,55
125629,38
111069,24
73787,28
52384,36
114079,43
32655,44
71348,53
127644,32
43464,44
161344,43
110309,62
126061,47
31508,48
56641,34
56281,27
72809,32
71885,57
108521,52
90868,29
116058,24
100772,19
31202,55
24111,30
39142,27
96106,35
131562,53
29229,49
44760,32
61191,51
87648,43
20662,41
112178,30
63339,55
36345,28
133086,37
122795,54
144717,34
143680,43
91118,29
68331,35
73294,30
102043,26
37579,23
36890,39
48667,45
150108,31
110298,25
137785,39
94319,48
106741,31
96758,48
99415,27
61086,31
10958,35
73118,51
107892,30
124517,42
47905,38
56720,41
128977,27
23839,30
135153,47
136836,54
50840,49
110154,47
101372,46
114875,38
45587,23
43516,31
138776,53
87233,48
17742,45
89081,49
120967,31
53007,39
92173,44
108684,38
127276,38
101585,24
69230,42
129046,45
145085,34
108320,41
115334,31
60106,30
92069,51
47282,34
112201,27
49611,46
35757,59
126991,56
115555,28
123824,47
90303,32
58024,50
52039,24
49624,54
81759,37
131002,31
115302,54
67016,19
145185,21
62898,40
106219,42
124898,37
133885,48
95107,53
117162,26
45423,27
64990,42
48214,23
0,48
148923,46
89174,44
103083,59
27794,52
88442,33
108098,37
100746,47
19566,47
44309,54
11111,59
118448,30
110109,59
38091,21
38795,27
52462,48
112857,22
133957,25
84481,49
102347,54
54790,45
124161,45
95169,58
126899,47
129031,29
52384,51
130127,36
115534,32
22858,26
39809,58
48674,58
35882,45
53106,27
116081,53
175073,40
114034,25
41566,43
45489,45
13137,25
114709,48
40945,50
117258,32
124811,30
102747,34
132238,33
124213,48
92940,40
51071,47
36917,32
120590,24
122776,21
56431,53
60673,32
68411,47
28091,27
25266,35
34567,52
116829,46
131896,26
64034,30
116379,46
118079,28
38066,46
39938,47
123857,47
41751,45
72394,28
92418,41
42729,46
154122,36
115636,37
120246,48
89005,25
21823,52
109483,29
50891,38
3628,48
47429,33
59202,25
56686,56
116743,30
88010,32
96112,49
55567,51
42426,33
76176,34
72118,38
68204,31
137757,57
111802,20
156355,25
78654,32
43450,33
58986,48
59670,54
57346,31
138932,25
63289,30
99924,32
144600,52
105432,52
132774,39
130271,46
0,37
35462,39
116184,51
36585,54
47653,53
115535,39
126115,26
149644,53
41469,28
54461,51
45792,25
135542,48
133411,35
62843,46
27972,49
115621,32
54263,34
59625,32
29788,40
44365,41
112292,53
129342,26
106273,31
52798,25
35886,38
48203,31
30124,41
126910,47
81503,24
28346,59
57453,50
114789,30
113258,42
34828,35
20623,44
34701,49
65512,33
123079,30
129248,61
31154,50
29159,24
69608,51
65853,50
96689,40
111257,18
103654,51
110122,36
19793,28
28247,50
132370,43
97748,31
6871,37
135162,23
101342,30
127669,51
123456,29
44790,36
128800,33
99813,34
58501,34
24876,23
87004,54
112459,35
115769,30
49448,45
57248,45
92121,32
123368,51
83543,25
128899,26
84628,36
102913,45
68256,25
133538,51
105018,30
124157,53
98230,58
41779,44
36377,44
143370,30
29982,47
61890,34
104571,53
100355,56
150464,26
98610,42
50189,27
123625,58
61479,52
42073,49
96497,51
49014,36
137076,33
131272,26
110771,31
52062,40
77794,49
125883,45
79721,58
31411,38
117502,49
29282,55
21025,29
35506,54
36985,41
124976,30
117584,23
135507,57
15933,56
108025,55
34512,54
42597,49
74576,53
73044,51
55886,42
37519,54
27683,39
91446,27
51601,19
127550,52
95327,46
92675,55
112466,39
44937,54
70615,29
95102,41
42203,35
16975,31
123857,44
