income,age,days_since_purchase
56432,31,492
137580,38,551
68285,59,304
93617,51,507
113441,54,509
100871,43,552
72481,33,402
34577,26,450
37387,30,463
37886,26,480
40948,43,309
87130,22,260
94347,18,269
49729,52,266
32592,44,599
37982,47,331
117941,30,312
40980,40,362
22428,59,332
77599,34,280
95905,28,386
30360,38,467
123577,57,510
100403,51,536
129073,37,290
41678,33,434
27705,43,295
84669,33,265
49936,31,445
29617,33,447
115563,55,430
115917,46,487
137878,54,500
86923,18,352
64226,38,407
124549,18,313
99866,43,501
103101,45,536
69367,36,518
94930,48,579
121244,52,482
116880,24,317
111533,26,294
35683,37,427
51406,28,516
40662,36,394
115509,32,243
110500,26,346
126147,56,546
110544,45,524
126559,42,501
26265,42,400
42528,47,290
116583,47,569
71619,33,431
50123,38,484
93597,51,543
54054,54,215
101085,30,371
58012,30,517
81387,48,298
135836,47,434
135204,48,501
10194,59,250
105898,27,303
129612,55,492
105352,36,174
60396,31,516
97062,28,273
54652,28,480
72436,57,338
107132,50,541
109587,45,494
139266,27,388
53567,34,491
28364,19,421
146667,58,596
92899,18,216
135225,34,336
109053,30,288
32586,47,294
38316,30,453
131059,46,463
33725,34,587
121028,47,556
41297,49,273
107980,60,499
109748,51,535
24996,34,479
56627,18,486
32142,53,276
34276,41,234
62527,50,364
112819,54,523
82153,51,470
26806,39,507
93676,36,316
101384,56,503
64421,25,486
54878,20,424
6763,23,508
36184,30,554
36400,54,282
37818,52,341
41888,27,501
20095,29,527
106640,48,376
61224,28,528
108637,55,441
123016,25,225
117596,55,521
43446,48,234
140949,34,296
87499,30,316
54666,60,287
38394,26,522
58275,35,482
141912,59,511
98509,57,485
106387,46,415
42537,27,490
68127,52,245
24062,48,225
105951,34,280
94346,50,482
28378,59,382
119284,50,564
97823,58,489
138687,31,286
61605,58,252
94714,24,379
100270,36,439
106908,47,481
131388,48,503
147331,45,428
39961,47,355
44019,43,360
40867,58,299
37845,45,368
42776,33,400
38471,28,479
13739,43,162
137463,48,453
55338,26,456
101933,28,300
42989,23,543
114155,53,532
102120,49,469
79444,26,338
148322,27,280
117530,34,296
47008,44,284
116808,50,536
38710,52,315
69015,26,459
94793,30,370
123255,26,298
99122,27,325
111433,26,291
100534,23,139
30775,51,286
17792,30,552
31833,51,258
138317,51,591
59038,44,352
114880,48,574
25710,52,302
115419,18,237
40411,58,304
124801,59,518
42217,52,298
77153,30,543
54726,47,281
138691,26,376
105932,56,479
108535,36,183
113275,36,342
42604,46,389
46536,46,273
63558,51,344
99871,38,528
108263,36,256
117152,42,520
61814,25,440
75126,30,382
127503,32,292
33472,21,570
116436,38,267
136262,44,504
168993,25,252
107058,39,265
137860,29,309
52939,52,387
145163,40,246
63372,48,340
130668,35,326
115524,39,441
24079,31,518
125591,35,563
70121,31,320
60586,55,315
101702,33,227
114749,48,540
85141,39,595
29132,52,360
3089,52,282
118064,42,488
128590,21,178
118870,45,586
137754,48,469
140874,27,348
59498,48,249
121966,51,474
141565,48,525
114426,59,487
64562,48,350
44491,54,268
112132,34,220
46293,52,268
94267,51,512
38612,46,366
105182,52,528
56423,32,398
140714,35,238
28384,48,364
111353,55,506
48097,44,373
107050,22,349
85713,54,500
49660,27,457
33026,45,294
53929,52,367
123186,31,334
122701,50,525
118799,32,366
55350,63,329
152190,28,340
146282,26,281
125792,28,293
124628,50,416
52903,53,391
117636,52,478
47007,28,538
46021,51,389
53327,47,458
101469,42,220
63485,36,405
41409,26,512
84795,60,332
92549,32,320
51530,57,304
78879,33,300
124957,48,384
58694,44,364
26586,49,306
111912,21,338
56784,45,296
111072,44,506
152649,45,501
107743,46,506
89748,54,559
121509,54,513
134363,55,592
123598,48,630
25198,54,275
85448,32,256
91510,33,412
1688,23,497
72862,30,524
24090,27,478
144694,21,303
31830,58,352
116695,23,239
127525,32,395
21183,29,434
69569,18,405
61726,20,462
52894,33,489
65880,51,336
49173,35,461
39232,53,284
52347,30,546
56461,44,251
33805,24,501
20287,27,525
130262,29,362
43456,27,497
72264,59,302
40347,26,505
122098,32,323
53410,26,575
47434,30,506
128752,31,305
71829,50,254
113387,30,329
117380,30,324
122670,55,466
107303,49,540
89564,30,255
46068,30,511
56561,48,269
134582,19,307
116988,51,500
118884,27,354
120680,41,581
38863,23,561
130478,47,530
95647,38,438
59300,26,474
127957,51,511
56051,47,247
25404,49,353
139890,31,359
103724,35,293
130005,29,232
96389,27,272
72278,46,273
50969,53,352
42946,30,559
48983,57,286
68158,19,562
50853,30,525
52918,46,380
18098,32,437
60583,33,626
32677,44,310
98136,51,569
98163,33,282
117310,27,335
117155,46,550
44331,31,558
35053,49,339
113271,32,270
134878,57,496
136515,60,596
113013,53,480
91001,51,467
115183,41,507
35403,46,290
123438,23,302
115602,48,490
96019,50,508
109545,33,260
49702,46,390
49123,22,505
43494,41,532
54844,26,459
80105,28,506
125682,35,275
53931,56,348
133683,32,338
54183,54,342
40555,30,566
119723,45,497
49333,41,258
91095,43,516
31039,35,501
28053,49,242
99886,55,507
17797,25,497
109434,25,239
75605,39,267
114959,45,438
48216,30,558
47729,29,502
109187,46,464
110013,49,508
100225,36,295
61504,29,480
87054,25,267
73146,32,511
102996,31,283
118641,52,577
42835,38,574
85140,30,274
103556,47,467
121436,37,273
46285,30,464
114537,58,505
11580,30,404
105221,55,543
55940,25,502
42704,48,340
120408,56,537
39443,38,297
47465,44,289
91906,27,324
152499,33,289
105159,50,544
113868,52,464
52076,51,357
69094,22,555
116308,30,309
78270,32,575
65988,41,245
22349,46,437
45198,48,206
66402,19,515
100782,27,296
59537,38,499
97678,28,282
148407,55,531
32938,32,601
128606,52,554
49494,39,317
27064,51,368
119050,31,315
83830,54,308
88338,42,269
48306,39,312
33568,20,514
125479,36,202
49504,21,511
23126,36,502
119992,31,406
109714,52,438
105997,25,295
116626,26,324
58413,52,226
106093,52,527
124046,26,301
144373,31,262
26397,37,224
54608,30,430
45426,21,337
21305,28,598
68289,48,441
48064,34,527
116782,45,515
110463,44,594
111168,45,474
23509,54,348
102491,54,457
42316,31,485
113276,41,504
106852,53,501
37820,51,311
30778,34,484
20411,47,235
74426,32,499
35096,53,290
102272,21,306
111900,49,499
72373,49,313
116269,27,339
135199,53,491
114695,23,324
44351,27,491
92462,27,350
65039,47,293
26597,33,556
13423,28,482
47818,51,371
127163,31,306
131601,44,507
24512,46,485
27337,54,247
39447,43,293
52984,30,373
8897,51,211
89491,37,261
37948,53,291
113154,30,332
47415,31,486
142945,54,463
114356,51,404
37443,45,305
38240,49,236
80496,51,237
73005,21,482
82978,55,509
87912,51,575
33896,36,485
13574,35,510
102479,53,481
126660,34,358
124563,48,438
33696,46,314
22463,45,336
41861,26,458
86716,29,525
115468,51,490
54234,31,497
121560,30,418
124459,28,233
37693,48,294
44782,53,304
105629,51,467
11754,47,277
108400,33,302
117906,57,468
133537,34,280
105071,31,315
35013,22,508
38390,24,512
83468,26,290
42812,54,276
33337,47,260
47530,52,314
75400,58,503
134068,29,217
116131,51,485
32233,53,275
101098,28,266
107601,52,511
33112,30,509
91493,42,294
61659,27,454
12266,26,573
0,23,480
135118,30,442
33678,29,534
42909,33,497
48094,48,240
115376,32,322
112722,48,472
88195,45,543
102291,54,459
98316,50,385
133254,47,499
55545,49,179
30198,24,545
148660,55,426
56472,33,439
111506,46,504
33688,18,524
104136,49,474
41620,44,299
68478,52,275
116289,45,496
113294,29,323
118090,22,215
112083,55,508
144248,34,306
54248,27,538
92143,32,241
64978,24,488
121152,35,286
50865,46,398
0,47,299
23815,49,273
61236,35,561
122378,33,318
66099,24,506
46992,50,257
134912,23,368
103995,49,421
41994,49,338
134618,33,335
126055,39,334
38708,33,533
117301,21,263
52568,31,508
12989,54,241
47100,54,338
96542,21,289
93243,32,497
126698,45,500
81965,44,492
129114,27,278
84211,25,242
45904,28,524
100569,33,265
70336,30,532
87252,49,471
33195,20,553
33014,32,563
73987,30,502
20041,47,287
37419,54,235
40111,32,533
100338,33,332
100715,42,524
151576,38,277
60833,25,445
118658,34,346
67080,35,620
23785,33,531
43364,46,346
26747,50,280
94929,47,517
82452,51,473
96482,58,533
119820,36,266
68282,28,445
135485,56,502
126418,51,596
90007,26,357
120488,27,289
129281,33,306
134241,34,309
42048,26,497
57225,37,506
69475,51,226
93485,48,486
112978,33,286
57448,19,502
118209,20,291
27770,51,296
103420,31,337
58758,47,296
64785,54,278
83746,47,297
146644,34,218
65557,22,618
98892,46,460
29094,39,577
50975,28,516
62460,33,507
154523,48,612
86020,45,567
34266,47,255
38224,46,324
16294,30,404
88168,45,420
130883,40,563
74252,49,306
49486,45,178
60403,61,204
132111,52,378
44362,27,502
129143,52,520
33992,31,493
116502,49,480
60676,23,523
58490,52,321
85927,55,536
60182,43,337
127252,24,371
92845,57,483
51803,24,433
42465,27,501
61707,19,543
38263,55,254
90779,33,300
30384,44,536
56320,52,274
13628,45,312
55459,36,502
108082,53,477
124829,35,251
96717,53,622
81291,22,265
16486,27,512
113248,34,269
112628,36,415
130910,52,600
133798,59,456
116153,24,388
53348,47,278
48193,51,305
30411,50,386
38387,34,520
111461,31,284
102662,46,497
81223,49,502
110404,20,307
37053,33,477
117419,28,409
47699,54,329
72002,27,418
118097,48,512
152516,48,485
40101,24,422
54261,48,290
89765,34,290
93995,21,342
45255,29,430
115504,54,514
20061,37,437
119222,37,304
37001,47,369
127170,25,284
119517,27,281
36740,38,507
121146,36,268
127323,28,342
46691,39,532
107717,26,341
125549,42,431
34678,49,261
54278,36,507
121694,41,569
133700,30,374
37795,27,471
27687,51,294
56719,26,467
126170,51,571
114825,51,426
39836,21,510
50493,27,468
25864,44,341
97961,36,404
48988,47,299
45491,44,262
125178,24,300
101316,52,555
137230,31,304
19451,31,458
104220,54,624
19206,55,322
53945,20,413
132336,54,443
114126,28,341
27767,50,327
32520,40,270
124788,59,565
115511,51,576
44480,47,319
94268,58,457
7291,52,278
117945,32,310
125778,46,568
54598,24,524
53552,43,274
33305,48,295
138210,28,425
58719,40,411
101208,50,437
27425,45,383
25032,31,428
95988,23,273
68206,29,496
28935,34,512
46775,56,316
145386,48,465
100779,25,307
43937,46,345
88773,18,222
43527,29,540
85113,49,498
53548,20,491
42813,34,482
48109,34,432
133071,51,535
77298,47,359
125004,30,322
92053,30,427
129607,29,435
107671,23,307
82288,32,352
56530,49,336
35547,33,507
48534,55,305
85923,55,516
105001,48,530
137288,30,272
34948,52,316
105957,58,565
85699,35,291
44852,50,238
148223,46,494
109026,49,516
121251,55,518
73635,43,355
39499,43,293
39624,48,264
99462,28,304
86782,37,335
119370,38,238
78753,55,292
32916,35,536
87601,48,460
51251,32,523
91485,35,580
41624,49,287
138296,47,504
128624,51,503
94675,51,459
121021,33,349
117782,53,470
113272,51,556
49701,40,486
42484,35,615
19822,40,413
102561,29,336
33931,47,272
43250,26,510
53712,51,304
146015,22,310
33712,23,477
131648,35,330
101303,35,277
33348,30,468
54651,19,540
42633,34,458
140465,41,491
54669,49,284
119893,30,364
86337,48,505
134586,35,249
27032,37,552
90744,65,431
123431,28,303
34829,50,380
98924,51,485
59644,51,302
113253,42,562
112001,32,234
70524,47,324
63067,50,254
63957,47,301
43319,38,331
33051,53,354
127621,44,500
139552,32,297
130063,31,350
71277,23,487
54596,42,359
43952,53,246
83275,43,306
47131,26,539
32115,60,234
28843,51,248
39393,59,349
107903,58,470
46140,21,459
58056,45,255
14046,32,463
56686,43,341
131439,44,500
48947,23,436
109720,40,457
108538,21,253
159666,28,350
103822,47,513
112868,45,456
41246,51,275
40719,52,247
27643,55,273
30802,36,501
83554,34,420
100263,40,253
57775,50,298
101746,33,202
35748,56,336
37240,30,464
30300,26,503
29320,51,265
148772,46,481
125856,45,285
10494,36,587
155167,31,285
60460,21,401
59842,20,473
36736,25,550
141455,47,469
13215,43,558
45719,47,291
55892,57,299
89099,57,489
45330,32,534
112960,54,535
54509,27,527
40081,31,470
43746,31,467
116433,31,274
63167,61,275
9429,42,253
25103,29,525
140447,23,359
57976,30,478
40239,30,552
91853,44,395
102403,44,467
72117,45,482
137488,26,309
13452,50,280
120181,52,504
109841,51,500
69782,58,338
108239,34,358
91482,44,560
110394,53,439
112127,28,364
28886,39,455
79893,34,473
52901,34,509
120614,49,583
82861,47,332
107724,20,259
122529,27,354
93917,38,309
130858,24,333
98840,51,484
122340,43,479
60357,33,453
101465,30,252
37968,23,445
108605,49,485
102036,47,479
60760,32,542
75575,29,504
149510,57,489
95753,47,475
27868,29,503
16980,58,357
64124,51,292
15572,49,253
62295,51,338
34999,60,358
70989,53,201
53842,55,271
43286,43,282
56679,29,496
41974,40,325
46029,23,472
131581,18,240
116515,33,389
32130,48,338
90352,52,466
90282,46,538
58679,48,202
127518,29,267
0,48,254
22516,23,550
33026,21,402
47351,36,528
113886,54,478
41420,51,287
105831,51,613
21315,52,361
103742,21,310
126878,36,277
94657,23,308
98216,27,320
51188,43,247
134056,24,341
107737,46,478
104626,31,370
84159,61,434
75115,22,338
126871,32,314
67529,33,520
113057,49,558
84748,59,279
103723,22,259
109663,46,472
135923,29,243
131576,37,336
17353,31,469
34135,51,228
48880,22,520
47932,54,330
140388,25,249
139751,26,330
36673,52,332
120660,55,438
132498,50,580
106783,51,540
100777,45,453
127712,23,257
29265,46,309
51879,39,290
148026,48,426
107413,25,310
101908,27,262
110561,44,420
100408,26,220
37926,53,260
60062,32,612
78515,29,524
102684,24,367
108716,30,372
55243,48,212
97416,26,309
57959,25,480
112081,30,234
63828,27,532
66522,53,253
116328,50,470
46346,31,489
4902,46,257
71669,19,560
67078,28,512
47511,20,546
111050,27,275
104763,54,538
64825,55,301
106685,24,253
45902,51,245
99281,27,385
135172,28,286
54018,29,509
62879,36,579
76932,43,238
54532,26,450
58397,52,351
52689,52,321
148518,55,515
58785,51,263
26138,47,293
104604,57,511
125429,47,428
26829,32,551
98814,56,552
123690,31,229
36337,47,363
116810,31,356
116123,55,546
