spend,interactions
5818,23
6255,15
6139,15
6070,19
4837,24
1725,31
4433,16
3480,25
6602,11
2383,16
2727,10
6192,22
4633,27
5750,14
2836,20
1512,16
4743,12
2218,20
6889,19
1486,25
6669,13
5901,15
5102,13
2133,13
6757,23
0,14
5208,14
5248,11
2356,25
2239,18
8964,13
6628,17
5739,15
6578,19
5860,22
4177,12
1331,16
6611,16
5999,17
4012,25
1308,14
7230,26
5886,22
6497,13
2410,15
5334,14
7219,20
5367,16
6171,25
7474,23
3728,26
5903,14
2019,16
6452,22
497,22
2954,24
5379,27
3594,28
2391,15
4510,14
4970,13
2156,27
5766,26
589,14
1398,24
3655,25
1559,16
6618,21
4455,14
0,13
1947,11
2872,25
2570,17
2047,25
4805,23
1708,23
6051,26
2498,26
5291,14
6079,19
5645,13
3932,16
3012,25
2520,22
2271,13
4996,16
6305,13
181,24
5021,23
5606,13
1649,20
3059,11
2238,16
2529,22
2941,11
5500,12
6144,24
2927,10
2195,27
7259,10
5809,25
2206,26
2762,29
6210,24
5857,14
5017,28
3779,13
4783,16
3926,25
5612,22
3412,12
6048,15
2821,26
4872,24
5474,14
2783,16
5622,14
5189,24
6181,16
5467,26
6467,13
5735,24
6172,14
2392,26
2088,22
5662,16
4934,24
2674,11
4468,24
7817,12
0,24
2868,17
2932,15
5068,23
7706,18
1410,15
2778,25
6666,15
6451,14
1570,19
662,26
4087,18
5228,26
4382,21
755,21
5416,20
1849,20
7235,17
7684,24
5525,19
6406,27
6894,26
3689,14
2110,17
5893,23
2811,13
2713,17
2524,23
4930,21
6854,22
4218,29
6291,24
1823,16
1890,12
2862,22
6513,23
6376,14
5719,27
6688,22
1205,15
3249,21
5892,13
2605,22
5562,9
3410,15
5233,15
1338,12
5399,24
4367,26
1817,14
3593,10
5401,27
4805,24
2201,16
3551,15
4041,11
6406,14
3123,17
4850,27
2279,11
2185,26
7288,20
1990,29
2172,16
2559,20
4450,12
5638,27
6506,18
6225,21
2382,26
1377,15
3273,23
5569,25
2951,25
6484,13
555,29
6530,15
5506,18
5785,12
6278,15
5394,15
2757,14
6041,28
2465,17
5067,15
2011,24
3966,12
783,23
7532,25
5781,18
1274,12
3059,25
1122,15
5610,13
4620,20
5984,25
6036,23
1779,26
5147,12
2274,22
4505,12
5462,24
6349,28
6638,19
2227,22
887,22
5791,16
2320,17
4751,11
3567,26
6381,24
3157,23
2943,27
2141,23
6462,30
1974,25
5875,24
5426,26
1845,16
3144,20
1773,19
6718,24
1673,18
2711,14
2863,16
2639,12
6946,12
3619,14
5762,12
1542,15
1451,18
1818,22
6201,22
5054,14
2851,14
1976,17
2964,14
5731,15
1033,20
1807,25
4445,23
1344,15
5698,11
1918,13
5432,15
5802,12
2603,20
6938,26
6344,23
2725,15
2580,9
1632,22
1384,19
3495,23
2956,17
1607,17
4647,20
2688,25
6311,26
5557,14
1059,16
2709,21
2402,14
3986,29
1725,27
6758,11
3272,25
1661,24
4867,23
6345,23
2472,15
859,25
6620,13
2189,24
1794,19
6534,18
2798,13
6413,31
2825,17
2153,20
6501,14
3605,19
576,15
1037,24
4764,26
7095,16
2556,13
5038,24
5087,29
4476,14
2430,27
2975,25
2246,27
7076,14
6531,16
2601,12
6082,12
6383,25
1380,27
2078,15
7310,12
2966,13
2963,25
4608,19
1940,21
4715,24
2199,25
2217,17
2358,21
5778,13
5605,23
7505,15
5507,23
6550,15
4430,14
2167,18
8020,27
3368,27
2256,14
0,17
5248,9
5743,19
1617,15
3330,25
2270,16
7482,26
2628,23
5626,21
1412,25
6887,28
2542,24
902,24
6303,25
6820,12
5185,12
4209,15
2798,24
1059,14
3016,14
5505,29
2177,15
5514,12
5611,21
6679,30
1158,16
7184,21
1820,30
2087,22
5701,12
2371,16
1823,22
5703,21
1738,24
1794,22
2949,24
4806,25
7352,14
6368,23
2704,25
6425,16
1842,15
5904,20
5987,15
6965,28
4608,22
5182,25
6244,18
3677,23
2428,14
5728,15
5515,31
850,14
5767,15
6438,16
2245,13
6065,15
6687,14
6253,17
2985,12
1206,17
2960,12
6592,28
1543,18
2289,12
2731,22
5095,15
5821,17
989,14
5404,18
4958,22
4514,23
6808,17
5614,26
7254,17
3323,12
6440,16
5775,13
5226,17
3652,25
6697,12
1091,26
5631,23
7026,13
2846,28
6560,27
6328,16
209,14
7523,13
2856,23
5160,15
2615,27
1243,11
547,17
2376,27
6654,18
7336,23
1031,22
1404,13
1555,16
2626,13
4959,27
5837,15
2073,14
4805,17
1389,26
5518,24
1986,27
1461,24
5662,21
4606,16
5131,16
2594,14
5158,27
2378,24
2566,13
4572,13
5446,30
1789,22
3854,22
7359,16
2239,23
5862,15
5367,26
3531,25
2776,27
2317,16
797,10
5858,13
1489,20
6694,24
2661,11
5805,26
1733,24
1505,21
4488,15
5029,24
1806,16
1437,16
2230,13
2203,22
5885,17
4715,11
5691,16
5646,25
6594,13
5195,13
3754,19
2182,11
6029,12
6075,27
7510,22
1903,23
1897,21
3297,28
6242,14
4620,21
3114,14
5682,17
0,12
5449,14
6096,24
1697,15
3054,15
3328,14
5642,11
4752,22
2137,11
5522,13
2425,15
3642,22
1457,12
2480,23
6340,24
2513,24
4898,23
2981,16
2650,19
1767,22
1533,20
4887,15
5628,26
5271,26
2264,13
1821,14
2850,30
3005,15
1560,27
2615,26
3120,23
3569,22
2864,26
6604,13
6248,15
4350,27
1939,13
3795,14
7030,22
8753,20
4966,13
4218,10
6448,13
4901,10
6853,16
2433,29
5709,20
2459,13
6845,12
5810,29
6480,11
4755,26
2175,15
1367,11
5608,15
3862,20
2153,27
5037,23
6219,15
3797,30
6578,26
5904,22
2597,20
2448,24
6777,24
7067,22
3269,10
4456,13
3166,27
5776,19
5692,22
1263,17
2983,27
6530,23
6674,26
6549,26
2509,13
5538,15
3142,23
4824,25
4400,16
5500,16
2777,25
2196,11
5514,29
5515,16
2432,13
2723,25
2691,19
1281,23
6547,16
4758,29
4297,14
5772,14
5032,21
2045,24
2364,17
2636,11
5145,22
2375,25
5808,24
5056,11
708,18
0,18
4313,23
2380,13
4991,17
4324,19
2395,19
2398,10
3461,21
5663,18
5709,16
1955,21
6294,22
2387,24
6823,23
2809,25
2114,24
5433,23
6698,27
5845,24
1775,27
520,24
735,24
4851,26
4942,30
5895,18
5150,23
3010,23
7199,27
8067,21
5102,15
3383,23
1622,26
1875,27
3164,15
2525,15
2930,26
906,15
5753,27
2544,19
1365,26
7446,23
3889,24
5434,19
5985,17
910,23
5245,17
2200,25
4848,15
2571,16
2829,27
2177,27
1214,16
5518,26
1673,13
6012,24
5435,15
4361,24
3201,15
3083,17
1506,20
5856,17
6370,20
4682,21
2518,22
812,25
4458,22
2834,28
1783,17
5623,19
5889,15
1191,15
5079,12
4660,22
6841,27
2598,24
1728,26
6303,23
6480,18
2331,25
1051,14
6444,13
3636,25
3598,25
2739,22
2690,18
5301,17
6200,23
922,13
1042,13
1417,29
989,24
3416,17
6752,29
2373,25
6208,22
5557,12
5553,12
2419,25
1735,24
3640,16
1853,27
2901,25
1857,24
2450,18
1575,24
6719,21
5862,16
2866,23
2549,19
2949,16
6468,14
3664,15
6056,23
2743,21
4575,25
2246,24
5438,15
915,23
4543,14
2079,12
2553,23
1480,13
1073,15
5334,20
3420,23
1787,29
4709,24
2504,22
5570,30
3073,26
4674,19
2215,27
5739,24
5765,27
3033,16
6281,19
3080,12
1672,11
1691,18
4303,14
2168,22
1499,23
6244,29
2509,24
343,18
6563,13
571,28
1557,25
519,13
6139,27
6191,23
4805,23
4599,14
730,16
3337,11
1245,14
2653,26
2619,18
5310,28
2381,20
3361,22
5858,27
2103,24
5766,15
4990,17
5137,17
7502,12
1000,16
4454,24
1741,17
5622,17
6876,24
5207,14
2413,11
3094,17
1994,13
6646,25
4612,24
1754,16
1813,13
2684,25
1584,21
2129,24
2320,25
4603,25
1996,23
1815,13
6217,27
2851,29
2619,25
1957,13
2925,17
4289,16
848,15
5857,27
2814,13
6676,25
3521,24
5313,15
3018,19
5198,24
5879,11
6138,10
2035,24
2449,18
6319,14
7294,15
4555,14
4651,16
5943,22
6568,19
881,16
6377,26
656,12
5250,15
2339,26
978,23
6670,17
1872,28
6404,14
2632,25
2161,13
2730,12
4582,23
1348,16
5347,13
5693,25
4224,24
6332,13
2042,29
2818,10
4918,25
4834,20
2867,15
5110,23
2479,13
3692,27
5922,15
5447,12
1904,10
2157,15
6207,26
1625,29
6230,23
2921,25
2623,24
2794,21
2924,27
4755,20
5777,14
6181,29
6621,17
1825,26
2459,23
4316,10
4819,21
6775,28
1142,13
1668,19
5156,14
6192,23
4830,12
4231,18
6313,10
2173,22
3350,9
1983,10
1878,11
5038,9
7096,24
6240,15
3543,16
4657,25
5590,10
4075,12
2825,14
3066,15
5310,21
5776,16
2221,18
5607,14
2146,13
5288,25
3125,28
3968,9
4819,19
2479,23
3649,26
3559,22
3022,10
2370,27
4911,29
7205,22
3292,25
5325,13
6073,15
6153,15
1399,30
1881,16
4466,25
2121,16
1464,27
7219,13
4422,16
3530,14
8774,29
1844,19
4663,31
5411,22
5316,21
7320,22
6732,14
2655,13
2410,11
3452,27
6382,16
6921,23
7838,26
6707,23
2429,28
4320,15
5885,18
7460,27
2472,22
2082,23
2184,23
5899,27
771,14
7032,19
6222,25
7168,15
2090,14
4968,16
5804,26
3033,26
5337,15
6237,24
2481,27
5466,14
5653,19
1705,23
2379,13
2403,16
1863,18
3580,13
6363,19
5781,16
2411,12
5582,21
5546,13
1560,22
3541,23
5202,10
2538,10
3527,16
5154,29
2832,17
5841,23
2648,27
6168,25
2202,16
1829,27
2769,17
3808,17
4515,16
6264,27
1889,17
2728,24
1566,22
5656,11
3275,16
796,28
5712,27
2078,21
2433,22
5788,15
5620,15
5734,17
3365,23
0,11
1427,25
2136,23
4570,21
1379,16
5117,27
5640,23
4766,23
1068,13
169,26
