revenue,num_competitors,median_income,num_loyalty_members,population_density,location_age
42247.8,3.0,30527.57,1407.0,3302.0,12.0
38628.37,3.0,30185.49,1025.0,4422.0,11.0
39715.16,1.0,32182.24,1498.0,3260.0,12.0
35593.3,5.0,29728.65,2340.0,4325.0,10.0
35128.18,4.0,30691.17,847.0,3774.0,11.0
36310.72,2.0,31608.0,2187.0,1805.0,7.0
40192.34,3.0,27606.43,1852.0,5011.0,13.0
38655.51,3.0,24410.57,1240.0,3417.0,12.0
22773.04,3.0,23681.08,1414.0,3712.0,10.0
43493.59,4.0,34859.01,2924.0,4490.0,8.0
33410.76,6.0,29795.15,1350.0,3321.0,16.0
29013.7,3.0,29488.44,836.0,2653.0,12.0
23072.56,4.0,29850.21,901.0,2552.0,9.0
25745.24,4.0,29153.82,1566.0,2972.0,9.0
40774.27,3.0,32091.99,1673.0,3574.0,11.0
33497.54,2.0,29583.81,1668.0,3748.0,10.0
31824.68,4.0,27336.43,1693.0,3224.0,15.0
37615.92,3.0,32262.37,2059.0,2616.0,13.0
24471.04,3.0,32985.35,1887.0,1927.0,8.0
57946.29,3.0,35307.18,2010.0,2507.0,17.0
35574.49,4.0,35540.6,1156.0,2843.0,12.0
25451.94,4.0,26915.83,1467.0,3856.0,11.0
33483.81,2.0,29172.53,1604.0,2003.0,11.0
42194.96,3.0,27327.52,1811.0,3781.0,11.0
54866.6,3.0,33591.91,1904.0,3741.0,14.0
42761.34,3.0,31444.09,1697.0,3947.0,10.0
32274.64,4.0,30535.26,2381.0,3578.0,12.0
59909.1,3.0,30215.9,1532.0,3702.0,16.0
42946.68,4.0,31553.73,2036.0,4667.0,9.0
52196.35,3.0,36584.89,2125.0,2843.0,13.0
45892.31,4.0,35698.78,829.0,1993.0,12.0
43026.99,4.0,38553.64,1580.0,4248.0,10.0
47201.37,3.0,33505.75,1452.0,3965.0,13.0
50298.77,3.0,32477.61,1451.0,5184.0,12.0
41996.1,4.0,30250.51,1280.0,5188.0,10.0
33772.24,4.0,26707.43,1205.0,3654.0,13.0
25322.02,4.0,29933.23,1147.0,3689.0,7.0
40243.88,2.0,29924.15,1326.0,3152.0,11.0
38840.98,3.0,30295.42,1771.0,3173.0,13.0
42035.29,4.0,33233.14,1031.0,2997.0,12.0
24739.87,4.0,30283.7,754.0,1946.0,12.0
27791.59,3.0,32933.53,0.0,4030.0,7.0
23197.28,4.0,30446.4,1981.0,1872.0,11.0
22763.7,3.0,24655.53,1855.0,5893.0,7.0
32520.6,3.0,34250.31,1098.0,2974.0,8.0
48370.64,3.0,27914.22,1796.0,3899.0,11.0
27856.08,4.0,28445.21,1623.0,1018.0,13.0
35582.36,3.0,28822.46,1609.0,2357.0,13.0
33629.74,2.0,30117.65,1534.0,3431.0,12.0
42146.15,4.0,30678.69,1853.0,3493.0,15.0
45259.21,4.0,30319.53,1490.0,4203.0,9.0
54522.25,3.0,36166.95,2011.0,4581.0,11.0
33880.35,2.0,28289.79,1535.0,4424.0,9.0
45725.75,4.0,33831.28,1700.0,4395.0,8.0
34802.11,5.0,34063.49,1000.0,2776.0,11.0
39676.18,2.0,27101.46,2294.0,2876.0,10.0
31299.75,2.0,26393.34,1552.0,4607.0,10.0
45720.5,3.0,29574.46,1939.0,2362.0,14.0
45079.28,3.0,34685.39,1912.0,3331.0,14.0
17492.63,4.0,23285.26,1786.0,2921.0,8.0
35444.97,4.0,29843.62,1788.0,2389.0,10.0
42175.58,3.0,32174.55,1102.0,3159.0,15.0
34405.59,4.0,32838.0,1791.0,3778.0,8.0
30631.22,4.0,33862.24,1287.0,3595.0,9.0
29570.17,4.0,22299.89,1457.0,4086.0,16.0
45914.96,5.0,38230.57,1719.0,2447.0,12.0
43150.56,4.0,32079.26,709.0,6464.0,11.0
37513.78,3.0,29585.68,1189.0,3304.0,13.0
57120.54,4.0,35297.58,1258.0,4053.0,14.0
37407.58,4.0,28173.88,1357.0,3683.0,12.0
28212.75,4.0,32294.62,742.0,3997.0,6.0
39738.22,3.0,29483.12,2086.0,2746.0,11.0
50945.71,3.0,34470.94,384.0,5510.0,9.0
46012.68,4.0,35080.67,1273.0,3914.0,11.0
31544.18,3.0,30520.15,1591.0,4403.0,7.0
51802.34,1.0,35232.32,2072.0,2483.0,13.0
39161.4,5.0,34602.81,1935.0,3351.0,12.0
50268.85,3.0,34973.29,1396.0,4820.0,12.0
37702.18,4.0,30276.55,1185.0,2545.0,11.0
30476.48,3.0,31627.47,1793.0,4166.0,8.0
39809.09,3.0,27178.18,1573.0,1433.0,16.0
24912.56,4.0,28532.05,2112.0,2380.0,10.0
40483.07,4.0,32683.53,1376.0,4442.0,11.0
36346.82,3.0,29287.81,1395.0,2670.0,9.0
41079.82,2.0,27158.59,1681.0,2452.0,15.0
33690.12,3.0,27631.69,2578.0,3337.0,11.0
32560.58,4.0,34135.53,2649.0,1613.0,12.0
18110.74,2.0,32574.45,1937.0,1807.0,7.0
45304.25,5.0,32895.79,2475.0,3255.0,13.0
43160.98,4.0,30921.79,1245.0,3198.0,15.0
48649.28,4.0,34425.65,1685.0,4839.0,10.0
35588.62,1.0,29402.67,967.0,4009.0,12.0
27252.85,3.0,26030.16,2064.0,2259.0,12.0
41232.72,3.0,34891.03,2010.0,2981.0,11.0
34431.16,3.0,26783.07,1317.0,3215.0,14.0
47846.13,3.0,35293.34,1345.0,3952.0,10.0
57482.58,3.0,32819.5,2014.0,2538.0,16.0
45491.3,4.0,30876.55,903.0,3213.0,13.0
46243.71,3.0,28656.5,1842.0,4282.0,11.0
25749.67,4.0,28143.22,2123.0,3369.0,6.0
50585.76,3.0,29775.91,1280.0,3019.0,14.0
32982.53,2.0,28486.96,2852.0,3692.0,10.0
60831.03,3.0,39972.55,1387.0,2928.0,14.0
48341.63,4.0,32871.29,1267.0,3880.0,13.0
38574.12,3.0,27786.63,2008.0,2851.0,11.0
25500.34,3.0,26879.69,354.0,2988.0,10.0
42709.11,3.0,30522.9,2752.0,3839.0,15.0
49886.71,3.0,32674.0,912.0,4106.0,16.0
32433.77,3.0,30104.26,2059.0,1592.0,12.0
33832.02,3.0,30083.47,1685.0,3937.0,9.0
38193.35,2.0,32416.15,832.0,5265.0,8.0
26421.26,4.0,28974.18,1692.0,3120.0,10.0
24043.89,5.0,29950.73,1159.0,868.0,9.0
41385.84,2.0,36151.67,1875.0,2075.0,11.0
17464.9,3.0,25907.44,1363.0,2692.0,7.0
19019.47,3.0,29598.75,1641.0,2075.0,5.0
24551.16,2.0,26665.7,1473.0,1953.0,8.0
44046.74,3.0,38856.6,1234.0,3654.0,6.0
61361.42,2.0,38011.16,1757.0,2685.0,17.0
63154.48,2.0,38308.43,2106.0,3545.0,14.0
36644.23,2.0,35611.11,1122.0,1142.0,13.0
47520.1,3.0,29236.25,1362.0,4322.0,12.0
36617.3,4.0,34303.1,1882.0,4203.0,7.0
49781.7,4.0,31962.63,1884.0,3965.0,16.0
41423.28,3.0,31671.1,1228.0,1401.0,16.0
50155.2,4.0,34053.88,2041.0,3762.0,10.0
9121.99,7.0,31445.21,1261.0,0.0,13.0
57175.23,3.0,38369.25,2379.0,3646.0,9.0
48774.4,2.0,24868.99,1804.0,4914.0,13.0
46763.4,2.0,34606.98,2219.0,1728.0,13.0
30087.68,3.0,31368.27,2604.0,2457.0,12.0
44080.31,3.0,30376.61,1036.0,3373.0,13.0
34352.83,4.0,28266.62,545.0,2667.0,14.0
51281.73,2.0,41336.55,1685.0,4027.0,7.0
47248.08,1.0,31922.69,603.0,2777.0,14.0
34815.04,4.0,34407.88,1818.0,2638.0,10.0
58934.4,3.0,29719.66,2696.0,3248.0,16.0
43585.45,4.0,33683.86,907.0,4321.0,14.0
34421.56,4.0,28715.94,1807.0,3638.0,12.0
38268.87,3.0,29483.08,1792.0,4521.0,11.0
42190.23,3.0,32275.49,1031.0,3876.0,13.0
33598.94,4.0,34311.51,1595.0,2687.0,9.0
58792.99,2.0,40647.84,2544.0,1805.0,14.0
53207.1,3.0,31671.65,1757.0,4225.0,10.0
37843.97,4.0,31646.14,2185.0,2826.0,12.0
47825.43,3.0,29648.0,1663.0,4713.0,11.0
34085.51,3.0,31693.48,1926.0,3190.0,9.0
39637.38,3.0,30274.83,1647.0,1867.0,15.0
31622.93,4.0,28398.05,2303.0,2733.0,16.0
44452.3,4.0,34625.08,1149.0,4052.0,10.0
46209.51,3.0,36146.52,859.0,3334.0,10.0
29836.81,3.0,25829.6,1833.0,4465.0,10.0
42819.49,3.0,29936.93,1629.0,2386.0,14.0
28167.32,4.0,29227.59,1549.0,3923.0,12.0
18959.71,5.0,24329.54,1627.0,4044.0,10.0
29422.28,3.0,30738.71,1607.0,3560.0,8.0
34238.86,4.0,25502.17,2294.0,2276.0,13.0
46090.1,5.0,35498.18,1881.0,3234.0,12.0
30767.96,3.0,32218.18,1980.0,2229.0,8.0
19162.18,4.0,24629.66,1277.0,2999.0,11.0
5000.0,3.0,25977.57,2416.0,3239.0,0.0
21291.17,5.0,29888.86,1974.0,1891.0,9.0
34734.11,4.0,21428.2,2364.0,3503.0,17.0
42788.25,4.0,35116.29,1022.0,3721.0,12.0
36485.31,4.0,30612.82,1377.0,2094.0,15.0
29993.43,4.0,29617.13,2457.0,3260.0,6.0
43501.86,5.0,32182.15,1809.0,2931.0,14.0
50905.39,3.0,30351.8,2164.0,4568.0,14.0
33910.98,3.0,30673.04,1593.0,3290.0,10.0
22364.68,3.0,29582.01,1718.0,2525.0,7.0
41318.22,3.0,33004.7,1242.0,4385.0,8.0
30734.23,1.0,28818.15,2248.0,5171.0,5.0
63488.6,3.0,43676.9,1470.0,3803.0,10.0
53453.47,2.0,38458.81,999.0,3864.0,12.0
47466.23,4.0,27789.11,1519.0,5792.0,12.0
31801.55,4.0,32409.88,1217.0,1255.0,13.0
33431.9,3.0,26452.9,1514.0,4188.0,7.0
38572.62,4.0,32512.62,1540.0,3168.0,10.0
31909.74,5.0,25150.68,1193.0,3880.0,12.0
28381.49,3.0,27945.46,1169.0,2752.0,10.0
40602.55,4.0,33055.07,1753.0,4397.0,9.0
34144.68,4.0,32399.11,1482.0,3486.0,8.0
43200.85,3.0,31344.58,1904.0,3132.0,14.0
49322.12,4.0,35060.58,1059.0,4499.0,12.0
12356.14,4.0,24930.05,1781.0,2460.0,8.0
43795.92,5.0,33768.59,2070.0,4476.0,10.0
37942.2,2.0,33091.33,1258.0,4065.0,11.0
27875.45,4.0,26722.02,1735.0,2931.0,10.0
42154.95,2.0,25385.14,1897.0,3549.0,14.0
34890.39,2.0,29190.81,1713.0,3517.0,9.0
39342.86,5.0,35554.1,1836.0,3090.0,9.0
54753.73,2.0,34382.56,2335.0,2527.0,15.0
25691.81,3.0,27605.15,2148.0,2769.0,9.0
42434.11,3.0,28621.15,1415.0,2656.0,14.0
29872.02,4.0,30686.71,2151.0,2857.0,6.0
45666.56,2.0,28544.2,2702.0,4073.0,12.0
21040.08,4.0,29071.4,1486.0,2982.0,7.0
26162.8,4.0,30546.94,1238.0,3042.0,8.0
52916.07,3.0,32549.24,1635.0,5328.0,12.0
73377.15,4.0,38752.54,2458.0,3928.0,20.0
47333.58,3.0,29703.57,319.0,4745.0,14.0
24525.42,4.0,25403.8,2859.0,2619.0,9.0
50719.15,3.0,28559.99,2509.0,4100.0,15.0
57586.89,5.0,36478.25,2381.0,4574.0,16.0
35391.85,5.0,36637.72,1271.0,2968.0,12.0
41233.78,4.0,31821.2,1720.0,4230.0,13.0
53965.79,1.0,31789.13,998.0,4150.0,14.0
46394.87,2.0,34892.02,1503.0,4621.0,9.0
25325.78,3.0,30833.94,1932.0,4570.0,3.0
60646.45,2.0,32633.77,1831.0,5605.0,15.0
77546.6,4.0,40392.43,1527.0,5144.0,15.0
61443.7,3.0,36748.08,1570.0,5399.0,15.0
41848.52,4.0,30703.4,1592.0,4641.0,10.0
35882.32,4.0,31007.96,1255.0,3995.0,12.0
45644.43,3.0,29922.67,2583.0,4061.0,10.0
29542.01,2.0,29029.79,1989.0,4094.0,5.0
28507.52,3.0,28666.76,1318.0,2297.0,8.0
50091.4,1.0,32832.47,1208.0,5682.0,7.0
36451.59,4.0,33996.01,1505.0,3478.0,9.0
14227.06,5.0,20000.0,1650.0,3634.0,10.0
46565.81,3.0,34961.33,1296.0,2814.0,11.0
27637.04,3.0,27412.57,2392.0,2425.0,11.0
44539.87,3.0,29335.1,1174.0,3898.0,13.0
28435.23,4.0,29702.11,606.0,2463.0,12.0
50462.07,4.0,33823.64,1661.0,3370.0,10.0
28577.84,6.0,37452.64,2237.0,1818.0,8.0
31357.78,5.0,28733.83,1116.0,4428.0,9.0
54134.8,5.0,35573.26,1888.0,3835.0,15.0
30214.12,4.0,31164.57,1704.0,1948.0,9.0
46700.35,4.0,37257.3,1253.0,3279.0,7.0
32627.5,4.0,28945.12,965.0,2950.0,9.0
61484.08,2.0,39126.47,1311.0,4550.0,11.0
34976.86,5.0,30853.88,1277.0,4743.0,7.0
60993.85,3.0,34942.7,2331.0,4398.0,14.0
25912.92,4.0,28131.97,1917.0,3734.0,6.0
46536.66,4.0,29582.55,1292.0,5516.0,14.0
60967.47,4.0,39615.73,2225.0,2422.0,14.0
49033.78,4.0,31658.76,1331.0,3045.0,15.0
37069.81,4.0,31571.94,2483.0,643.0,12.0
41626.79,4.0,34630.63,1187.0,3793.0,8.0
37717.6,2.0,33687.06,1694.0,2933.0,8.0
50357.87,3.0,32383.78,2387.0,3120.0,12.0
6874.43,2.0,23435.82,821.0,3537.0,3.0
26576.85,5.0,27978.46,1418.0,2760.0,10.0
49113.04,6.0,32560.78,2050.0,4674.0,12.0
31817.16,5.0,27033.09,1186.0,4874.0,12.0
40352.76,2.0,35326.94,1877.0,4610.0,6.0
25365.65,3.0,29572.28,1288.0,3161.0,10.0
39553.46,4.0,31869.51,1821.0,4588.0,7.0
34084.96,4.0,29423.47,2219.0,3654.0,11.0
19451.79,5.0,29031.22,1591.0,2216.0,11.0
20300.99,2.0,28745.0,1702.0,2400.0,4.0
14850.56,4.0,24512.13,1330.0,1204.0,10.0
21081.72,2.0,22923.99,1259.0,4332.0,9.0
36028.46,2.0,27411.99,1891.0,4000.0,10.0
38075.18,2.0,29641.85,1200.0,5398.0,7.0
38159.11,6.0,28666.49,322.0,4479.0,13.0
32028.99,3.0,32477.87,1876.0,4027.0,3.0
21067.02,5.0,30029.56,1207.0,1619.0,11.0
31465.65,3.0,36589.83,948.0,3140.0,6.0
37635.98,5.0,33081.77,1249.0,3906.0,8.0
57533.77,2.0,34496.66,1432.0,3339.0,14.0
26520.81,3.0,27174.23,3047.0,1723.0,10.0
33673.16,4.0,30723.86,1650.0,3076.0,14.0
54365.97,1.0,32273.16,1885.0,3640.0,13.0
42139.74,3.0,34297.7,1668.0,2282.0,14.0
34007.09,5.0,29983.8,858.0,3071.0,12.0
30542.97,4.0,29256.1,1382.0,4444.0,9.0
61157.64,3.0,39894.73,1521.0,4091.0,15.0
33582.15,2.0,32933.45,1575.0,3540.0,7.0
24914.88,5.0,29497.79,2109.0,3276.0,9.0
40484.91,3.0,29663.75,2534.0,5111.0,13.0
45808.03,2.0,30830.47,1863.0,2187.0,16.0
27869.96,2.0,28747.63,1145.0,3707.0,9.0
49208.16,4.0,42048.38,790.0,1958.0,12.0
38006.08,4.0,30381.85,1716.0,2727.0,11.0
50755.75,2.0,31598.16,1670.0,4968.0,12.0
32081.81,4.0,32303.53,808.0,1719.0,9.0
18617.76,3.0,26296.1,1937.0,2690.0,9.0
52408.96,3.0,30039.16,2019.0,4436.0,10.0
42745.11,3.0,36123.26,1851.0,4554.0,9.0
43886.97,3.0,30730.27,2001.0,3668.0,10.0
30184.74,3.0,27034.02,1689.0,3815.0,9.0
37562.01,4.0,25343.91,1670.0,5627.0,10.0
49439.77,3.0,29948.73,1913.0,4822.0,16.0
47352.4,3.0,32215.9,1834.0,5346.0,9.0
25067.79,4.0,28157.24,1453.0,1823.0,10.0
12252.77,3.0,23179.49,1937.0,1750.0,7.0
31262.79,4.0,35258.95,1589.0,1791.0,8.0
29531.04,4.0,30471.18,918.0,3052.0,11.0
43128.95,2.0,27231.59,2460.0,3853.0,12.0
48363.43,4.0,38581.39,2349.0,2038.0,11.0
39943.52,4.0,35826.12,999.0,2170.0,10.0
47785.41,3.0,30090.96,1509.0,3764.0,12.0
37292.82,5.0,39880.01,1513.0,2918.0,6.0
49741.26,2.0,37600.65,1622.0,4117.0,9.0
30709.87,4.0,31049.7,699.0,5073.0,4.0
25517.92,4.0,34138.75,2052.0,1529.0,9.0
40034.07,2.0,30625.76,2104.0,3152.0,11.0
59561.68,3.0,37476.17,2160.0,3734.0,12.0
44359.5,5.0,33490.77,1986.0,4329.0,8.0
48697.84,3.0,38689.82,1894.0,1655.0,13.0
49101.47,4.0,33928.22,2386.0,5190.0,11.0
57485.34,3.0,32462.02,1208.0,4248.0,15.0
63024.21,2.0,38959.46,1954.0,3529.0,14.0
45297.33,3.0,31916.34,2180.0,2274.0,16.0
50388.64,4.0,30989.47,2073.0,5572.0,10.0
33264.83,3.0,29542.32,1119.0,2800.0,14.0
25643.62,5.0,27213.44,1665.0,4033.0,11.0
33690.49,2.0,32733.85,1460.0,3257.0,9.0
41038.77,3.0,34750.93,1804.0,3021.0,10.0
29292.93,2.0,31127.82,1093.0,3597.0,10.0
52057.54,2.0,35258.21,1735.0,3452.0,12.0
34102.6,5.0,35225.88,1869.0,4616.0,7.0
37773.69,4.0,30151.08,1702.0,2817.0,12.0
22999.75,4.0,23159.21,2620.0,4121.0,12.0
31859.55,3.0,31592.32,1799.0,4947.0,6.0
39133.33,4.0,31216.94,1657.0,4361.0,8.0
21825.76,4.0,36114.01,1874.0,1808.0,10.0
20234.52,5.0,28548.15,1650.0,2249.0,11.0
39488.31,3.0,28655.41,1246.0,4139.0,9.0
38852.52,3.0,31587.56,1881.0,4266.0,4.0
47444.54,4.0,30413.92,1622.0,4194.0,14.0
25519.52,3.0,31558.11,1202.0,4566.0,7.0
36033.51,5.0,30612.27,1536.0,2349.0,11.0
43872.08,4.0,32935.08,1814.0,2995.0,16.0
28817.49,6.0,31104.52,964.0,3506.0,11.0
39436.39,2.0,32732.65,1639.0,2652.0,9.0
56622.0,2.0,33508.27,1210.0,3376.0,16.0
36803.21,2.0,30498.42,2246.0,4102.0,10.0
28006.95,5.0,26230.22,600.0,3503.0,11.0
33174.25,4.0,29054.98,2142.0,3212.0,11.0
