spend,age,income,years_of_education
3304.0,36.0,45125.0,12
3709.0,43.0,41695.0,10
3305.0,47.0,39253.0,17
2170.0,33.0,32384.0,13
2113.0,30.0,33182.0,10
2746.0,41.0,32266.0,12
3230.0,24.0,44988.0,12
2075.0,34.0,30511.0,10
2040.0,38.0,24296.0,11
3188.0,42.0,39386.0,17
3796.0,52.0,48762.0,13
2619.0,63.0,35750.0,10
3240.0,39.0,56311.0,12
3642.0,21.0,41551.0,17
3183.0,28.0,48546.0,11
3647.0,40.0,53112.0,16
3283.0,48.0,21409.0,17
2615.0,33.0,37093.0,15
3478.0,49.0,51532.0,12
3109.0,42.0,35596.0,16
3418.0,41.0,41208.0,10
2350.0,25.0,31587.0,14
3883.0,43.0,55168.0,14
3154.0,28.0,43693.0,13
3237.0,44.0,38622.0,17
3979.0,52.0,44220.0,14
3604.0,49.0,51325.0,10
3054.0,45.0,39267.0,16
3167.0,39.0,53800.0,12
3659.0,33.0,45754.0,16
2614.0,45.0,23241.0,12
3649.0,46.0,40355.0,10
3392.0,33.0,53062.0,14
3307.0,40.0,64359.0,12
2239.0,28.0,37115.0,13
1953.0,35.0,24472.0,10
3477.0,28.0,50803.0,15
3865.0,44.0,42089.0,13
3297.0,25.0,54427.0,12
2731.0,41.0,22809.0,12
3480.0,31.0,42324.0,16
3992.0,44.0,45252.0,15
2905.0,29.0,54853.0,10
3797.0,22.0,44941.0,16
3437.0,49.0,42591.0,11
2879.0,42.0,34946.0,13
3875.0,48.0,46818.0,15
2889.0,50.0,27871.0,13
4022.0,49.0,50454.0,16
3463.0,44.0,60985.0,10
4320.0,49.0,42217.0,16
2498.0,35.0,32128.0,14
3675.0,36.0,55713.0,15
3743.0,55.0,40995.0,11
2198.0,36.0,9333.0,12
4263.0,54.0,47311.0,17
2449.0,47.0,20167.0,10
3057.0,35.0,40461.0,12
3324.0,32.0,55154.0,14
2609.0,37.0,29563.0,16
3747.0,33.0,44746.0,16
2658.0,30.0,14130.0,16
2915.0,33.0,60339.0,10
4072.0,65.0,44290.0,14
2957.0,47.0,22582.0,13
3768.0,40.0,50053.0,16
2696.0,43.0,32317.0,13
3721.0,56.0,57595.0,13
3610.0,42.0,43085.0,11
3764.0,27.0,45527.0,17
2673.0,31.0,33035.0,17
2927.0,60.0,39174.0,16
3307.0,37.0,44947.0,14
3120.0,30.0,59411.0,12
3840.0,40.0,45513.0,15
2654.0,42.0,26385.0,11
3058.0,43.0,38316.0,15
4133.0,40.0,53509.0,16
2805.0,42.0,32277.0,15
3505.0,38.0,42616.0,16
3850.0,36.0,56252.0,17
2447.0,54.0,34264.0,10
3606.0,47.0,44511.0,11
3653.0,54.0,49435.0,13
2245.0,39.0,31048.0,13
3210.0,37.0,69803.0,12
3225.0,32.0,58233.0,10
2294.0,29.0,37110.0,13
3176.0,51.0,22065.0,17
2916.0,37.0,51680.0,10
2265.0,36.0,21340.0,11
2111.0,22.0,36414.0,11
2552.0,42.0,23019.0,12
2687.0,33.0,16920.0,17
2628.0,37.0,36533.0,16
3534.0,28.0,55327.0,14
2337.0,44.0,32495.0,10
1921.0,28.0,36137.0,10
3807.0,39.0,45916.0,17
2189.0,35.0,32794.0,11
2312.0,23.0,39392.0,12
3073.0,34.0,51712.0,13
3037.0,30.0,42028.0,12
3135.0,38.0,48119.0,10
2510.0,51.0,34052.0,10
3871.0,40.0,50451.0,14
3883.0,41.0,42942.0,15
2476.0,31.0,35258.0,16
2327.0,43.0,39073.0,10
3326.0,28.0,49833.0,13
2856.0,50.0,29148.0,14
2560.0,43.0,29717.0,10
2248.0,29.0,25781.0,14
3608.0,49.0,43249.0,11
2856.0,55.0,32457.0,13
2943.0,46.0,29646.0,13
3168.0,41.0,29470.0,17
2514.0,46.0,34558.0,11
2025.0,30.0,34250.0,10
2710.0,59.0,38797.0,13
3355.0,39.0,42204.0,12
2637.0,28.0,21209.0,16
2712.0,50.0,38654.0,11
2818.0,29.0,41435.0,11
2308.0,37.0,28261.0,14
2364.0,50.0,32427.0,10
2106.0,34.0,39355.0,11
3519.0,44.0,60548.0,11
2578.0,48.0,38919.0,12
3134.0,29.0,59185.0,12
3520.0,31.0,49217.0,15
3034.0,42.0,39656.0,15
3022.0,43.0,39582.0,16
2418.0,31.0,36915.0,15
3559.0,48.0,55557.0,12
2760.0,38.0,36501.0,17
2469.0,20.0,31561.0,14
2359.0,36.0,20602.0,14
3536.0,41.0,45332.0,10
2227.0,36.0,36936.0,12
2388.0,62.0,28157.0,12
2106.0,19.0,36046.0,11
2541.0,27.0,33022.0,17
2247.0,34.0,34380.0,13
3743.0,42.0,42306.0,13
3435.0,43.0,44127.0,10
2862.0,41.0,30138.0,14
2996.0,30.0,46581.0,11
3784.0,32.0,46981.0,17
3087.0,35.0,52861.0,11
3066.0,30.0,42262.0,12
2336.0,35.0,36241.0,13
2986.0,55.0,28135.0,16
3108.0,24.0,40794.0,11
2517.0,47.0,28614.0,10
3452.0,26.0,47547.0,13
4222.0,42.0,54572.0,17
1927.0,28.0,18411.0,10
3483.0,40.0,46986.0,11
2612.0,33.0,24010.0,17
2818.0,52.0,38738.0,13
3412.0,42.0,49049.0,11
3183.0,49.0,25810.0,17
2321.0,29.0,39227.0,12
2745.0,35.0,36591.0,16
2172.0,40.0,36421.0,13
3108.0,44.0,37530.0,17
2730.0,68.0,36776.0,13
2653.0,41.0,27517.0,11
3507.0,44.0,49443.0,10
2615.0,26.0,26936.0,17
3726.0,42.0,46676.0,11
3409.0,41.0,25337.0,17
3218.0,39.0,40521.0,11
1836.0,36.0,37338.0,10
2501.0,43.0,23919.0,11
3819.0,51.0,59524.0,13
2417.0,56.0,21776.0,10
2535.0,38.0,36758.0,15
2334.0,27.0,32830.0,12
3754.0,40.0,45651.0,13
4130.0,46.0,49644.0,16
3331.0,57.0,34572.0,17
2699.0,41.0,29801.0,11
3110.0,40.0,21087.0,17
3964.0,50.0,56212.0,14
3629.0,43.0,50301.0,11
3707.0,59.0,52270.0,12
3120.0,34.0,44913.0,11
2646.0,30.0,34527.0,16
3721.0,45.0,48269.0,13
3546.0,40.0,43932.0,10
2047.0,35.0,35701.0,10
3573.0,55.0,53659.0,12
2603.0,32.0,23470.0,17
2644.0,40.0,37547.0,13
2296.0,28.0,32253.0,13
3209.0,33.0,46282.0,12
2647.0,32.0,39450.0,15
2543.0,38.0,39510.0,17
3025.0,46.0,22625.0,16
3558.0,48.0,59478.0,10
3515.0,41.0,44328.0,10
3626.0,56.0,40581.0,11
3455.0,41.0,41742.0,11
3981.0,45.0,43275.0,14
3784.0,28.0,42018.0,17
3669.0,28.0,40892.0,17
2145.0,36.0,28803.0,12
2413.0,36.0,20787.0,16
2614.0,31.0,25912.0,16
2700.0,49.0,35429.0,12
4280.0,43.0,44888.0,17
2019.0,27.0,24478.0,10
2530.0,44.0,16853.0,10
4012.0,58.0,50776.0,15
3002.0,47.0,23512.0,14
2054.0,34.0,37186.0,12
3081.0,37.0,48405.0,10
2993.0,35.0,50037.0,10
2530.0,44.0,39799.0,10
2976.0,41.0,18401.0,15
1957.0,34.0,26802.0,10
3029.0,34.0,40266.0,12
4117.0,44.0,46077.0,17
2363.0,26.0,28403.0,13
2470.0,37.0,21578.0,15
3305.0,36.0,45233.0,12
2967.0,43.0,39680.0,14
3530.0,46.0,50124.0,10
2961.0,50.0,27792.0,14
3065.0,35.0,45724.0,11
2410.0,32.0,29521.0,15
3604.0,43.0,43700.0,11
3069.0,31.0,43160.0,11
3981.0,53.0,47050.0,14
2646.0,52.0,32437.0,10
3636.0,43.0,54840.0,13
3203.0,35.0,47788.0,11
2980.0,60.0,35332.0,16
2762.0,51.0,32473.0,13
3634.0,47.0,56414.0,13
3836.0,58.0,54018.0,13
3005.0,55.0,37694.0,16
3541.0,34.0,43212.0,14
4255.0,46.0,42823.0,17
3644.0,26.0,52887.0,17
2545.0,38.0,30289.0,15
3218.0,36.0,59011.0,13
2741.0,52.0,28285.0,12
4176.0,40.0,53260.0,17
2374.0,36.0,23726.0,16
2014.0,23.0,38390.0,11
2972.0,34.0,45329.0,11
3543.0,34.0,40805.0,17
2913.0,24.0,59547.0,11
2041.0,37.0,33256.0,11
3837.0,48.0,51229.0,11
3072.0,33.0,45590.0,11
3207.0,39.0,45370.0,13
3092.0,38.0,42453.0,11
4223.0,40.0,52665.0,17
3847.0,40.0,47841.0,13
2703.0,30.0,31390.0,16
3504.0,37.0,50688.0,15
2487.0,43.0,31904.0,11
2472.0,52.0,30447.0,10
2361.0,39.0,39048.0,14
2194.0,29.0,27227.0,13
2734.0,30.0,36077.0,17
2378.0,27.0,33655.0,14
3894.0,52.0,54922.0,14
3151.0,38.0,42984.0,11
4035.0,48.0,44601.0,14
2944.0,42.0,31339.0,15
2745.0,43.0,30257.0,13
2096.0,35.0,18887.0,10
2881.0,40.0,26140.0,14
4204.0,41.0,53857.0,16
3093.0,40.0,31670.0,16
2530.0,55.0,32838.0,11
3460.0,53.0,54555.0,11
4110.0,44.0,55705.0,15
2899.0,53.0,26337.0,13
2238.0,28.0,24750.0,13
2953.0,36.0,42323.0,10
3059.0,36.0,45415.0,11
3060.0,33.0,40006.0,11
2906.0,48.0,34986.0,14
3114.0,33.0,54227.0,10
3524.0,34.0,42076.0,15
2516.0,29.0,38411.0,16
2130.0,19.0,37662.0,11
2448.0,60.0,36783.0,11
3396.0,40.0,48641.0,15
3550.0,43.0,46672.0,11
2471.0,30.0,39136.0,16
3001.0,46.0,28305.0,14
3237.0,33.0,42160.0,12
3099.0,37.0,44857.0,10
4003.0,56.0,46498.0,16
2475.0,36.0,27544.0,15
3008.0,53.0,34018.0,15
2793.0,52.0,37650.0,14
2614.0,59.0,28253.0,12
3520.0,53.0,40094.0,10
2828.0,26.0,32165.0,17
2864.0,52.0,28205.0,13
3088.0,29.0,45764.0,10
2363.0,27.0,21873.0,13
4177.0,63.0,44691.0,16
4016.0,42.0,43344.0,14
3042.0,34.0,53187.0,10
3153.0,29.0,44365.0,11
2673.0,30.0,25627.0,17
3396.0,31.0,50268.0,14
2763.0,24.0,31347.0,17
1973.0,37.0,29048.0,11
2456.0,36.0,29890.0,13
2216.0,28.0,33083.0,10
3589.0,24.0,48070.0,17
2653.0,38.0,31704.0,16
2944.0,20.0,58296.0,10
2333.0,39.0,37218.0,14
3734.0,48.0,41732.0,11
3575.0,39.0,46950.0,17
2562.0,47.0,36033.0,10
3018.0,47.0,32856.0,17
4071.0,45.0,40347.0,16
2598.0,44.0,28656.0,11
2073.0,24.0,18864.0,11
3892.0,48.0,52081.0,14
3402.0,34.0,50984.0,17
3957.0,42.0,44659.0,14
2761.0,46.0,27199.0,13
3201.0,61.0,32744.0,16
3397.0,19.0,44569.0,13
2404.0,29.0,26047.0,14
3791.0,31.0,53048.0,17
2926.0,57.0,27534.0,12
3374.0,40.0,42502.0,10
2706.0,38.0,22509.0,17
3662.0,45.0,56637.0,14
3303.0,32.0,49495.0,13
2221.0,37.0,33219.0,13
3691.0,47.0,47854.0,11
2018.0,38.0,34753.0,10
3591.0,33.0,43901.0,17
3052.0,35.0,42847.0,12
2986.0,40.0,36374.0,15
2875.0,49.0,34806.0,13
3514.0,39.0,51132.0,15
4244.0,49.0,46744.0,17
4005.0,53.0,52097.0,15
2432.0,26.0,24729.0,13
2256.0,29.0,24313.0,11
2491.0,38.0,38540.0,16
2867.0,48.0,31931.0,13
2401.0,27.0,38062.0,12
2231.0,34.0,31610.0,13
3797.0,40.0,44051.0,13
3673.0,23.0,52755.0,15
3539.0,42.0,52915.0,11
4021.0,50.0,49456.0,13
3797.0,52.0,47338.0,13
3250.0,28.0,55618.0,12
2698.0,31.0,36892.0,16
3824.0,30.0,55967.0,16
2723.0,49.0,35618.0,11
4203.0,54.0,48484.0,17
3899.0,56.0,47046.0,13
2709.0,44.0,37270.0,12
2575.0,30.0,31139.0,15
3194.0,31.0,49883.0,12
3794.0,39.0,60797.0,17
3653.0,42.0,57104.0,11
3696.0,32.0,48145.0,16
3597.0,36.0,42356.0,17
2049.0,21.0,26777.0,12
3413.0,61.0,61073.0,10
3672.0,40.0,48911.0,17
3045.0,42.0,26608.0,15
2896.0,25.0,48033.0,10
2860.0,33.0,34097.0,17
3498.0,36.0,49282.0,15
3824.0,34.0,53194.0,16
1957.0,34.0,37319.0,10
2713.0,31.0,36328.0,17
2629.0,43.0,22673.0,11
3397.0,24.0,47414.0,15
3117.0,50.0,36390.0,16
2700.0,44.0,30459.0,12
2806.0,45.0,36205.0,13
3806.0,45.0,43453.0,12
2633.0,41.0,29601.0,11
3064.0,43.0,39091.0,15
3948.0,42.0,43630.0,15
3943.0,41.0,48064.0,13
2861.0,29.0,35694.0,17
3429.0,21.0,40109.0,14
3791.0,44.0,44989.0,14
3797.0,55.0,53756.0,14
2709.0,38.0,27862.0,15
3468.0,36.0,52778.0,14
3086.0,61.0,36717.0,15
3163.0,34.0,46177.0,11
3315.0,36.0,48150.0,13
3408.0,77.0,41778.0,10
3402.0,38.0,41254.0,14
2344.0,34.0,32590.0,13
3643.0,31.0,44040.0,16
2764.0,62.0,20837.0,14
2485.0,29.0,36763.0,16
3144.0,32.0,42082.0,14
2346.0,38.0,27161.0,13
2070.0,23.0,34934.0,10
3927.0,44.0,45176.0,13
2531.0,30.0,22164.0,17
2795.0,43.0,25245.0,12
3668.0,51.0,40806.0,13
3245.0,48.0,32412.0,17
3867.0,45.0,44297.0,13
2310.0,33.0,31024.0,15
2876.0,43.0,39652.0,14
3292.0,33.0,41050.0,13
2542.0,46.0,30825.0,11
2915.0,26.0,50323.0,11
2746.0,26.0,36926.0,17
2139.0,35.0,32616.0,10
2632.0,45.0,15439.0,11
4148.0,53.0,45532.0,17
2472.0,39.0,39939.0,14
2624.0,32.0,26708.0,15
2518.0,57.0,37167.0,10
3334.0,24.0,44969.0,13
3285.0,47.0,37917.0,17
2641.0,32.0,18930.0,16
3076.0,26.0,42223.0,11
3385.0,28.0,52082.0,14
2293.0,25.0,27852.0,12
3753.0,47.0,51488.0,11
1939.0,38.0,30566.0,10
3990.0,47.0,54524.0,15
2143.0,27.0,33955.0,10
3340.0,46.0,35212.0,17
2304.0,38.0,39121.0,13
3454.0,21.0,59676.0,15
2816.0,45.0,32195.0,13
2537.0,47.0,32313.0,11
3970.0,55.0,40277.0,14
3227.0,32.0,43665.0,13
2482.0,29.0,33007.0,14
2495.0,53.0,31092.0,11
3823.0,54.0,42201.0,13
3828.0,48.0,46941.0,15
2527.0,37.0,19621.0,16
2913.0,53.0,31337.0,12
2786.0,49.0,37054.0,14
2564.0,36.0,38634.0,16
2460.0,41.0,30208.0,12
3145.0,43.0,37866.0,17
3280.0,34.0,44258.0,13
3066.0,48.0,34257.0,16
3126.0,43.0,22583.0,16
2256.0,40.0,35998.0,12
3711.0,48.0,44622.0,13
3464.0,36.0,48910.0,15
3303.0,37.0,53345.0,14
2649.0,50.0,35714.0,12
3219.0,49.0,28013.0,17
1933.0,33.0,35936.0,11
3298.0,44.0,24733.0,17
3853.0,61.0,46590.0,12
2747.0,30.0,14709.0,16
3550.0,38.0,43983.0,15
2478.0,50.0,29839.0,10
2519.0,39.0,12418.0,16
2186.0,35.0,37558.0,12
2633.0,45.0,35504.0,11
3063.0,50.0,35246.0,16
2980.0,49.0,36657.0,13
3752.0,56.0,48932.0,11
3034.0,47.0,35918.0,16
2081.0,38.0,25427.0,11
3820.0,43.0,42968.0,12
3430.0,30.0,56512.0,15
1920.0,37.0,39145.0,10
3517.0,42.0,43783.0,11
3712.0,46.0,46799.0,13
3455.0,51.0,58349.0,11
2417.0,37.0,37469.0,14
2558.0,39.0,29075.0,15
3741.0,35.0,48409.0,15
1945.0,40.0,37260.0,11
2714.0,30.0,25186.0,17
3747.0,28.0,51809.0,15
3295.0,38.0,45923.0,13
4070.0,47.0,46552.0,16
4002.0,46.0,42101.0,16
