spend,age,income,years_of_education
2273.0,33.0,37173.0,12
3019.0,33.0,40168.0,10
2834.0,48.0,39778.0,11
3307.0,41.0,26465.0,17
2709.0,55.0,33773.0,13
2949.0,47.0,20343.0,14
3346.0,38.0,44131.0,13
2399.0,34.0,32022.0,16
3064.0,36.0,63290.0,10
3773.0,39.0,43750.0,17
3575.0,60.0,46641.0,11
3415.0,28.0,47950.0,14
2375.0,41.0,38335.0,10
3648.0,60.0,41336.0,13
3928.0,51.0,42580.0,16
3169.0,23.0,47119.0,12
2205.0,38.0,34507.0,13
4115.0,40.0,47206.0,16
2857.0,35.0,37524.0,17
2770.0,49.0,28366.0,14
2702.0,45.0,35855.0,11
3612.0,35.0,60715.0,16
3069.0,37.0,54858.0,11
3740.0,64.0,51355.0,12
2570.0,36.0,27268.0,16
2797.0,46.0,28691.0,14
3128.0,30.0,47022.0,11
2903.0,41.0,27882.0,14
2920.0,39.0,45697.0,11
2569.0,28.0,34286.0,15
3643.0,46.0,41358.0,12
2702.0,25.0,35391.0,17
3510.0,21.0,47815.0,15
2427.0,36.0,32190.0,14
2663.0,32.0,22027.0,17
3020.0,32.0,46717.0,10
3584.0,26.0,53291.0,17
3940.0,61.0,40322.0,15
2358.0,28.0,29585.0,15
2767.0,41.0,33223.0,13
3495.0,32.0,54896.0,14
3734.0,48.0,47116.0,12
3035.0,34.0,43942.0,10
2614.0,39.0,34104.0,17
3991.0,55.0,44169.0,15
3026.0,36.0,48872.0,11
3977.0,57.0,55609.0,15
3621.0,39.0,56298.0,15
3677.0,46.0,42889.0,13
3892.0,55.0,43218.0,14
2522.0,30.0,22508.0,16
3541.0,35.0,42328.0,15
3056.0,55.0,37821.0,15
3005.0,47.0,30697.0,16
3004.0,35.0,51730.0,11
3408.0,29.0,62637.0,14
3164.0,34.0,48213.0,11
2480.0,50.0,25684.0,10
3656.0,43.0,44469.0,12
2134.0,21.0,38076.0,10
3098.0,33.0,41505.0,11
2441.0,44.0,27812.0,10
3104.0,38.0,43387.0,11
3325.0,44.0,31826.0,17
3231.0,36.0,40933.0,11
2558.0,37.0,36150.0,15
3399.0,31.0,47479.0,14
3393.0,26.0,40644.0,12
2987.0,19.0,47713.0,11
3427.0,50.0,46117.0,10
2277.0,38.0,30592.0,13
3546.0,56.0,49599.0,10
4084.0,57.0,46880.0,15
2438.0,38.0,21140.0,14
2923.0,38.0,51714.0,10
3735.0,52.0,49585.0,12
2048.0,34.0,35886.0,10
2537.0,37.0,28242.0,15
3711.0,37.0,41701.0,17
3832.0,49.0,65791.0,14
2876.0,31.0,40505.0,10
2335.0,33.0,29441.0,14
3102.0,40.0,29808.0,16
2676.0,42.0,37034.0,12
3160.0,25.0,40179.0,12
2961.0,29.0,54641.0,11
2221.0,29.0,27801.0,13
3069.0,58.0,34027.0,16
2321.0,40.0,33668.0,14
4008.0,43.0,47237.0,17
2637.0,33.0,26428.0,16
3189.0,61.0,37603.0,17
3652.0,33.0,47360.0,16
3658.0,41.0,59636.0,13
2735.0,57.0,38788.0,10
3189.0,49.0,30826.0,17
3642.0,31.0,53041.0,17
3758.0,47.0,42587.0,12
1970.0,38.0,29375.0,10
3668.0,24.0,44347.0,17
2112.0,40.0,23861.0,12
3840.0,56.0,55277.0,13
2444.0,37.0,32986.0,14
3393.0,41.0,38549.0,17
2989.0,46.0,38881.0,15
2447.0,38.0,28324.0,13
2898.0,46.0,30281.0,14
3652.0,36.0,44481.0,17
3567.0,39.0,41082.0,16
2950.0,42.0,36049.0,15
3551.0,28.0,52860.0,14
4168.0,56.0,45145.0,17
3873.0,44.0,45945.0,17
2478.0,41.0,37417.0,11
3948.0,45.0,58749.0,15
4213.0,41.0,73312.0,16
3853.0,54.0,40491.0,15
2453.0,37.0,31894.0,13
2452.0,32.0,38452.0,15
3637.0,32.0,52062.0,17
4132.0,53.0,40527.0,15
2153.0,40.0,28741.0,13
3659.0,31.0,52445.0,17
2751.0,52.0,36898.0,12
3450.0,35.0,42713.0,13
3557.0,33.0,55150.0,16
2527.0,48.0,38662.0,10
2882.0,57.0,29693.0,13
2974.0,45.0,30858.0,14
2665.0,36.0,35990.0,17
3073.0,25.0,42955.0,11
3464.0,56.0,60564.0,10
2625.0,38.0,22322.0,16
2637.0,49.0,29951.0,11
3662.0,40.0,40972.0,16
3632.0,62.0,47589.0,12
2018.0,36.0,28989.0,10
4144.0,40.0,51775.0,16
3387.0,44.0,65878.0,10
2804.0,37.0,38579.0,17
2372.0,33.0,28475.0,11
3278.0,30.0,42394.0,12
3637.0,34.0,47595.0,16
3630.0,59.0,57481.0,12
4143.0,40.0,43962.0,17
2829.0,50.0,25554.0,13
3342.0,31.0,46555.0,15
2252.0,37.0,35471.0,12
2537.0,53.0,21978.0,11
3553.0,37.0,54981.0,15
3850.0,53.0,52459.0,15
3716.0,39.0,48696.0,16
3074.0,45.0,39471.0,15
3493.0,33.0,51131.0,14
2782.0,48.0,23002.0,13
2987.0,29.0,51461.0,10
4201.0,44.0,43600.0,16
4090.0,46.0,50642.0,16
4055.0,53.0,51489.0,16
2905.0,41.0,36026.0,13
3555.0,40.0,50981.0,11
3210.0,31.0,55671.0,12
3040.0,23.0,60790.0,10
2971.0,42.0,36468.0,15
3151.0,44.0,39094.0,17
2003.0,37.0,17832.0,10
1829.0,37.0,19752.0,10
2132.0,28.0,28438.0,11
3369.0,34.0,47847.0,13
4025.0,48.0,42118.0,14
2360.0,25.0,25660.0,13
3562.0,31.0,57349.0,15
2861.0,52.0,27798.0,13
2696.0,37.0,39572.0,16
2718.0,21.0,31407.0,17
3104.0,51.0,31243.0,16
4185.0,47.0,45749.0,17
2144.0,21.0,33980.0,12
2507.0,30.0,27423.0,14
3603.0,40.0,48235.0,10
2137.0,21.0,39931.0,11
3278.0,36.0,41516.0,12
2907.0,47.0,37767.0,13
2927.0,55.0,37279.0,14
3132.0,32.0,65722.0,11
3282.0,32.0,45818.0,11
3046.0,26.0,40222.0,11
2991.0,48.0,26825.0,15
2222.0,28.0,26095.0,12
3538.0,36.0,47151.0,16
2466.0,38.0,31954.0,14
3812.0,48.0,45293.0,12
3625.0,43.0,51572.0,12
3950.0,44.0,51181.0,15
2992.0,37.0,45755.0,11
3567.0,49.0,46605.0,12
3589.0,44.0,40173.0,11
3362.0,34.0,54160.0,15
3186.0,46.0,38725.0,16
2681.0,35.0,35431.0,17
2703.0,30.0,39415.0,16
2820.0,38.0,29564.0,17
3285.0,53.0,38232.0,17
2865.0,45.0,36528.0,14
3757.0,31.0,40516.0,17
2069.0,37.0,36451.0,11
2681.0,32.0,32955.0,16
1997.0,25.0,29702.0,10
3569.0,50.0,42103.0,10
2571.0,51.0,35011.0,11
2556.0,29.0,36063.0,15
3399.0,23.0,56006.0,14
3880.0,40.0,52935.0,14
3109.0,36.0,40139.0,10
3421.0,40.0,64619.0,14
3221.0,27.0,43566.0,14
2816.0,32.0,38374.0,17
2296.0,33.0,33764.0,14
3255.0,39.0,40789.0,15
2819.0,50.0,34108.0,14
2692.0,40.0,32238.0,12
3189.0,46.0,32285.0,16
2397.0,26.0,33442.0,15
3486.0,32.0,48324.0,14
2255.0,19.0,38235.0,12
2783.0,68.0,39005.0,14
3608.0,50.0,52642.0,11
4027.0,43.0,50572.0,16
3234.0,27.0,42494.0,13
2584.0,30.0,39030.0,15
3062.0,38.0,56650.0,12
2856.0,42.0,30691.0,13
2778.0,45.0,33398.0,13
2758.0,30.0,32812.0,17
2377.0,40.0,31249.0,12
3869.0,43.0,45878.0,13
2615.0,39.0,26413.0,16
4036.0,45.0,52450.0,17
3790.0,41.0,57922.0,13
4049.0,50.0,40200.0,16
2660.0,25.0,28508.0,17
2945.0,48.0,38311.0,14
3215.0,26.0,41814.0,12
2519.0,55.0,23140.0,10
2741.0,48.0,28706.0,13
2216.0,23.0,37076.0,11
3041.0,52.0,34651.0,16
2684.0,33.0,39968.0,16
2457.0,33.0,26484.0,15
2339.0,35.0,32927.0,14
3529.0,36.0,54283.0,15
3111.0,58.0,31401.0,16
2207.0,30.0,39091.0,13
2866.0,42.0,35601.0,12
3781.0,51.0,54641.0,11
3286.0,34.0,46781.0,14
2344.0,40.0,36822.0,13
3211.0,35.0,61588.0,14
3705.0,41.0,44096.0,14
2511.0,46.0,34033.0,11
4270.0,61.0,58931.0,17
3366.0,26.0,46012.0,14
3321.0,28.0,44829.0,12
2745.0,35.0,30600.0,17
2622.0,37.0,38498.0,15
4261.0,51.0,43481.0,17
3489.0,27.0,42530.0,16
2310.0,24.0,33420.0,12
3420.0,47.0,45381.0,11
3271.0,34.0,41410.0,14
2681.0,30.0,36187.0,16
2958.0,47.0,37606.0,16
3771.0,41.0,41561.0,12
3187.0,38.0,45869.0,10
3456.0,35.0,43336.0,16
2618.0,41.0,23893.0,11
3378.0,35.0,46533.0,14
3016.0,44.0,30947.0,15
3090.0,43.0,38794.0,15
3025.0,40.0,37311.0,15
3824.0,58.0,56510.0,14
2763.0,44.0,38696.0,10
3644.0,49.0,42897.0,10
1937.0,33.0,36796.0,10
3941.0,43.0,40110.0,15
4061.0,50.0,52323.0,16
3079.0,20.0,61337.0,12
3335.0,43.0,36379.0,16
3659.0,39.0,49285.0,17
2748.0,27.0,30064.0,17
3125.0,37.0,54991.0,12
3124.0,46.0,35176.0,15
4191.0,53.0,40790.0,17
2311.0,32.0,31886.0,11
3482.0,40.0,40453.0,10
2616.0,40.0,35011.0,17
3954.0,52.0,44456.0,14
2476.0,49.0,25697.0,10
2884.0,44.0,28901.0,13
2899.0,44.0,27248.0,13
2710.0,48.0,36446.0,11
3624.0,53.0,49795.0,10
2551.0,33.0,35881.0,15
3286.0,44.0,16822.0,16
3772.0,54.0,51666.0,15
3071.0,51.0,37640.0,14
2710.0,53.0,36635.0,12
2931.0,23.0,59290.0,10
2700.0,49.0,35944.0,13
3166.0,41.0,38272.0,16
2773.0,55.0,38004.0,13
3641.0,46.0,47270.0,10
2482.0,29.0,33089.0,14
3172.0,38.0,62033.0,12
3548.0,33.0,42770.0,13
3545.0,43.0,47759.0,11
2797.0,24.0,22920.0,15
1904.0,31.0,37685.0,10
2995.0,28.0,44021.0,10
3397.0,19.0,51875.0,14
4172.0,48.0,47028.0,17
2665.0,33.0,35801.0,16
3514.0,52.0,43927.0,11
2915.0,43.0,39553.0,13
3720.0,41.0,41032.0,12
2434.0,42.0,29748.0,10
2167.0,27.0,37189.0,12
2074.0,21.0,30848.0,11
3099.0,39.0,45174.0,11
3561.0,50.0,48936.0,11
4054.0,45.0,54286.0,16
3412.0,19.0,43268.0,15
2737.0,33.0,18961.0,16
2787.0,37.0,40503.0,10
2719.0,32.0,37118.0,17
2652.0,27.0,28631.0,17
3824.0,44.0,46508.0,12
2959.0,52.0,39736.0,14
3400.0,43.0,38072.0,17
3888.0,46.0,57709.0,14
2922.0,40.0,38996.0,16
3664.0,47.0,51870.0,12
3254.0,31.0,40869.0,14
3350.0,26.0,42599.0,14
2989.0,45.0,21435.0,16
3669.0,27.0,40415.0,17
3525.0,34.0,45138.0,14
2656.0,43.0,36995.0,11
2430.0,20.0,29147.0,14
2541.0,53.0,20633.0,11
2621.0,46.0,36532.0,11
2993.0,33.0,58845.0,11
1960.0,36.0,29295.0,10
3953.0,41.0,53072.0,14
3440.0,37.0,40794.0,15
3839.0,54.0,48918.0,14
3372.0,46.0,58768.0,11
3199.0,43.0,34106.0,17
2695.0,38.0,28757.0,16
2524.0,27.0,25394.0,15
3709.0,51.0,56961.0,12
2388.0,39.0,25455.0,16
3030.0,47.0,30058.0,16
2458.0,33.0,34574.0,16
3913.0,42.0,42268.0,14
3708.0,30.0,65755.0,17
3546.0,32.0,48790.0,16
3563.0,41.0,42936.0,10
3572.0,36.0,40608.0,16
3521.0,39.0,45167.0,16
3510.0,46.0,58522.0,12
2761.0,51.0,20806.0,13
2646.0,40.0,27158.0,11
2430.0,37.0,35333.0,13
3133.0,43.0,26722.0,16
3407.0,29.0,51987.0,15
2900.0,46.0,34443.0,12
3683.0,42.0,50200.0,13
3010.0,41.0,26544.0,15
3110.0,32.0,46869.0,10
2452.0,25.0,29839.0,15
4240.0,41.0,42109.0,17
3366.0,37.0,40156.0,16
2162.0,31.0,38924.0,12
3367.0,32.0,52904.0,13
3985.0,45.0,42942.0,14
2507.0,35.0,34312.0,15
2124.0,23.0,39385.0,10
3064.0,30.0,50854.0,13
3475.0,39.0,50216.0,16
3382.0,34.0,62137.0,14
2346.0,30.0,37062.0,13
2006.0,35.0,35172.0,10
3092.0,31.0,47503.0,10
2069.0,33.0,35190.0,11
4248.0,54.0,44631.0,17
3257.0,58.0,30225.0,16
3003.0,39.0,46711.0,10
3672.0,38.0,51681.0,17
3429.0,39.0,47910.0,14
3635.0,46.0,42833.0,10
1980.0,34.0,24257.0,11
3230.0,24.0,49541.0,13
3470.0,23.0,56276.0,15
3559.0,44.0,40099.0,11
3714.0,28.0,50494.0,17
3719.0,54.0,47511.0,13
2079.0,34.0,29889.0,10
2613.0,33.0,35076.0,16
3349.0,34.0,40033.0,13
2560.0,30.0,30195.0,16
2418.0,43.0,31931.0,10
3775.0,37.0,50493.0,16
3051.0,26.0,49595.0,12
3512.0,34.0,66042.0,14
2420.0,39.0,35792.0,14
1961.0,39.0,32887.0,11
2092.0,34.0,29636.0,12
2648.0,40.0,25423.0,11
3622.0,31.0,52557.0,17
2428.0,32.0,35818.0,13
2437.0,33.0,39935.0,15
3613.0,38.0,44836.0,17
3785.0,52.0,54869.0,14
2915.0,41.0,30276.0,15
2634.0,38.0,31741.0,16
3304.0,33.0,40068.0,12
3910.0,58.0,50040.0,13
2208.0,34.0,29575.0,12
3773.0,44.0,64377.0,12
2065.0,37.0,29017.0,10
3585.0,27.0,44447.0,15
3619.0,33.0,52866.0,15
2476.0,44.0,29301.0,11
3315.0,27.0,42294.0,13
3138.0,48.0,35268.0,16
2479.0,51.0,22236.0,10
2780.0,43.0,30217.0,12
4175.0,40.0,54456.0,17
2842.0,52.0,16365.0,13
2198.0,39.0,37015.0,12
2177.0,40.0,39277.0,12
3875.0,28.0,40982.0,17
3487.0,46.0,48913.0,10
2259.0,33.0,32193.0,12
1990.0,35.0,34778.0,10
4107.0,57.0,41117.0,15
3049.0,51.0,35306.0,17
3487.0,41.0,49210.0,10
2875.0,48.0,24401.0,12
3514.0,38.0,46764.0,15
3625.0,50.0,44231.0,10
4325.0,42.0,51290.0,17
3268.0,36.0,56400.0,12
3748.0,31.0,50641.0,16
3866.0,47.0,42256.0,16
3644.0,46.0,54016.0,11
2922.0,38.0,52534.0,10
2489.0,36.0,37017.0,17
2797.0,48.0,36876.0,13
2147.0,34.0,19223.0,12
2200.0,39.0,11247.0,13
2427.0,18.0,27856.0,15
3711.0,42.0,52659.0,12
3282.0,48.0,38708.0,17
2433.0,47.0,24741.0,10
3041.0,48.0,33580.0,15
2159.0,33.0,30485.0,12
3413.0,44.0,54350.0,10
2517.0,38.0,28030.0,14
2854.0,45.0,33472.0,13
3389.0,24.0,50674.0,13
3121.0,30.0,50103.0,11
3237.0,30.0,50350.0,11
3864.0,41.0,62894.0,14
4422.0,48.0,40900.0,17
3090.0,39.0,43585.0,13
2099.0,37.0,39251.0,10
2747.0,44.0,23670.0,13
3420.0,29.0,40906.0,13
3011.0,42.0,33388.0,14
3805.0,62.0,48381.0,13
3106.0,42.0,35495.0,16
3568.0,44.0,46800.0,11
2739.0,49.0,33935.0,12
3450.0,42.0,34895.0,17
3047.0,41.0,39177.0,14
3531.0,33.0,48516.0,16
3407.0,20.0,43972.0,15
2405.0,33.0,37775.0,14
3510.0,26.0,43994.0,15
3243.0,33.0,45553.0,10
3558.0,26.0,52081.0,14
2983.0,34.0,47069.0,11
3569.0,44.0,50592.0,10
2931.0,42.0,32561.0,16
2732.0,41.0,36512.0,12
2380.0,43.0,18131.0,10
3550.0,44.0,42910.0,13
4100.0,45.0,54407.0,16
3739.0,56.0,45123.0,14
